galaxy_name,source_type,dataset,taxonomy_stage,quality_class,measurement_unreliable_flag,velocity_target_reliability_score,contamination_reasons,quarantine_flag,clean_scalar_sample,m40_direct_row,A_target,A_pred_m38_feedback,A_pred_m38_feedback_cv,A_activation_flip_m39,A_activation_flip_cv_m39,f_star,f_gas,RHI_Rd,Inc,Vflat,e_Vflat,recommended_next_label
F571-8,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.989116265005514,,0.010883734994486,,0.6819590824550527,0.3180409175449473,6.896067415730337,85.0,139.7,4.3,resolved H I asymmetry/warp and approaching-receding split
IC4202,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.84,inclination extreme,False,True,True,1.0,0.9989977505526164,,0.0010022494473835,,0.8457337330268883,0.1542662669731117,6.7217573221757325,90.0,242.6,11.0,resolved H I asymmetry/warp and approaching-receding split
UGC02885,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9978141780735728,,0.0021858219264272,,0.7910323852314484,0.2089676147685516,6.512280701754385,64.0,289.5,12.0,resolved H I asymmetry/warp and approaching-receding split
ESO116-G012,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9958398657553555,,0.0041601342446444,,0.5983732945942856,0.4016267054057144,6.344370860927152,74.0,109.1,3.1,resolved H I asymmetry/warp and approaching-receding split
F579-V1,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,local measurement-contamination flag; inclination extreme; high Vflat uncertainty,False,True,True,0.9142491219646848,0.992413427822064,,0.007586572177936,,0.6648821248393632,0.3351178751606368,6.2195845697329375,26.0,112.1,13.4,resolved H I asymmetry/warp and approaching-receding split
NGC2903,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,False,True,True,0.8283195478752283,0.9796316360509264,,0.0203683639490735,,0.9234267464940172,0.0765732535059827,5.90557939914163,66.0,184.6,5.6,resolved H I asymmetry/warp and approaching-receding split
NGC3917,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9979128741944217,,0.0020871258055783,,0.8139148839043014,0.1860851160956985,5.353612167300381,79.0,135.9,4.1,resolved H I asymmetry/warp and approaching-receding split
F574-1,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.7162899142484588,0.9644786307875328,,0.0355213692124671,,0.4108519726174104,0.5891480273825895,3.630044843049328,65.0,97.8,4.1,no immediate M40 quality label acquisition priority
UGC06786,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9988107639210796,,0.0011892360789204,,0.8458313937142514,0.1541686062857485,5.641666666666667,64.0,219.4,7.8,resolved H I asymmetry/warp and approaching-receding split
NGC5985,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9984480019617278,,0.0015519980382722,,0.8713455360448207,0.1286544639551793,5.634807417974322,60.0,293.6,8.6,resolved H I asymmetry/warp and approaching-receding split
NGC6195,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,0.6335265955764974,0.9961814047016194,,0.0038185952983805,,0.8755002533979934,0.1244997466020065,2.9332855093256818,62.0,251.7,9.3,no immediate M40 quality label acquisition priority
UGC06930,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,0.75,local measurement-contamination flag; inclination extreme,False,True,True,0.8544600438959054,0.9841119366923928,,0.0158880633076071,,0.5091657821440827,0.4908342178559173,4.253807106598985,32.0,107.2,5.1,measurement-quality audit before activation modeling
ESO079-G014,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.996218678202334,,0.0037813217976659,,0.8609911892073615,0.1390088107926385,3.478346456692914,79.0,175.0,3.5,no immediate M40 quality label acquisition priority
NGC0024,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9967700933277948,,0.0032299066722052,,0.6838210987557938,0.3161789012442063,5.440298507462686,64.0,106.3,7.9,resolved H I asymmetry/warp and approaching-receding split
NGC3953,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9988842089191448,,0.0011157910808552,,0.9493857994389996,0.0506142005610004,3.554192229038855,62.0,220.8,6.1,no immediate M40 quality label acquisition priority
NGC3972,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9978024001660872,,0.0021975998339127,,0.8163351199847119,0.1836648800152881,4.610091743119266,77.0,132.7,2.9,no immediate M40 quality label acquisition priority
NGC5005,direct_sparc_m36_m39,SPARC,mature_or_control,mature_control_velocity_target,False,1.0,none from available local flags,False,True,True,1.0,0.9956440649764569,,0.0043559350235431,,0.9813051270337704,0.0186948729662297,1.1015873015873017,68.0,262.2,20.7,no immediate M40 quality label acquisition priority
