f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,omega_c,k_omega,T_c,k_T,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score,UGC07125_A_pred_m18
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,2.0,1.0,1.5,80,1.0,0.1359110111462764,0.3686611060937625,0.21992165995912955,0.19823798200009693,0.004579438006468767,0.8902835035143848,0.2517013162862675,0.09192667915445049,0.16134786320780833
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,4.0,1.0,6.0,80,1.0,0.143947681884618,0.3794043777878927,0.25967511463511794,0.23872385404581892,0.00021335327627590732,0.9566409907984816,0.29011474034425816,0.09201265895759442,0.10855273595386414
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,4.0,1.0,6.0,80,1.0,0.143903666039257,0.37934636684599604,0.25944696119919053,0.23803177036450027,0.00015471054868110263,0.9561699970458103,0.28967759048611863,0.0920142737994189,0.10841991576084606
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.5,0.05,1.0,1.0,1.5,80,1.0,0.13756317275008662,0.37089509669189025,0.22768800291809788,0.1940335362538877,0.01101012564826238,0.7152815811878578,0.19780074638834735,0.09202557216646703,0.07518818685869379
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.75,0.1,2.0,0.0,1.5,80,1.0,0.13898734564945656,0.3728100664540277,0.23464211964516474,0.1999252149724738,0.02199763554670883,0.8275355174847572,0.24442367313577615,0.0920589217204236,0.07969143118144591
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,4.0,1.0,6.0,80,1.0,0.14402210489445177,0.37950244385833903,0.2589450236401503,0.23986053041462588,0.0003110909112752976,0.9574105592382696,0.29083364089627,0.09223310016642171,0.10877359113208313
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.05,4.0,0.0,10.0,80,1.0,0.14479406775434536,0.3805181569312368,0.2620570365061999,0.23566589772194108,7.065090539731084e-05,0.9169517124254812,0.26769321411887986,0.09238266045310539,0.06656912045769628
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.02,4.0,0.0,10.0,80,1.0,0.14473880594291885,0.38044553610591736,0.2616554864589677,0.23541327136268403,6.99631713437053e-05,0.9162905079645286,0.26726101559904725,0.09240770865112531,0.06656555904215881
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,4.0,0.0,10.0,80,1.0,0.14488830318796445,0.38064196193794037,0.2620752887810741,0.2360838480196115,7.179712881998675e-05,0.9180537198604021,0.2684150067874241,0.09247324543174962,0.0665750561502587
0.25,10.0,7.8,2.0,0.75,8.0,7.0,1.2,1.6,4.0,6.0,1.0,0.4,0.1,1.0,0.0,3.0,80,1.0,0.1441914829268013,0.37972553631116424,0.25782250873538753,0.22708304109334718,0.0047539327252381445,0.6053902717075422,0.1654266505760042,0.0926269811797238,0.05943604394748497
