galaxy_id,survey,coherence_score,coherence_quartile,btfr_offset_dex,f_gas,f_star,D_total
20292,xGASS,0.596838891310249,Q2,0.1014513857668788,0.0514164419200508,,
109106,xGASS,0.5878684922645458,Q2,-0.0496181033685667,0.097105892486144,,
20286,xGASS,0.7497859436400862,Q4_high,0.0463238280884819,0.1299820252731063,,
109094,xGASS,0.4952480112891145,Q1_low,0.0515822225783564,0.35583533996246,,
109079,xGASS,0.4556099553423932,Q1_low,0.2052925684984496,0.2634541905758729,,
20448,xGASS,0.5715177061650811,Q2,0.0629192983414439,0.2465151979739588,,
109135,xGASS,0.4160492530430542,Q1_low,-0.2158391201934455,0.2947075513922696,,
33737,xGASS,0.5580781991936314,Q2,-0.1555353768187153,,,
5035,xGASS,0.6539833281681529,Q3,0.0516134365506664,0.0742879642906122,,
110038,xGASS,0.4935233680912597,Q1_low,0.0383753552222594,0.3564657014395465,,
14831,xGASS,0.7697782443882935,Q4_high,-0.0549301827450374,0.107508122796397,,
18830,xGASS,0.5825314839916841,Q2,0.1158787267911511,,,
8634,xGASS,0.5619561676456908,Q2,0.3796934527135094,,,
110013,xGASS,0.5981124405813183,Q2,0.0578374912083003,0.2256132375837957,,
110080,xGASS,0.5471487881977342,Q2,0.0246288608503628,0.5381493851546717,,
18877,xGASS,0.783139685811154,Q4_high,0.0356216514794898,0.0586361891461464,,
18887,xGASS,0.8050269881672472,Q4_high,0.0875478857328473,0.1302226297237653,,
26407,xGASS,0.6965939237624756,Q3,-0.0336618374569446,0.0487494388479261,,
26406,xGASS,0.6263968048363426,Q3,0.0577290779795416,0.0691644033622152,,
110056,xGASS,0.5678247049477929,Q2,-0.0704630511425248,0.0650845190709805,,
26320,xGASS,0.7416987128452353,Q4_high,0.1955389937209934,0.0815864249122337,,
18862,xGASS,0.6795470392866485,Q3,0.0493031613864949,0.1426674931271452,,
22999,xGASS,0.7909298698276324,Q4_high,0.0487945722088869,0.0967233379350518,,
23026,xGASS,0.8687260156362857,Q4_high,0.0633369664466791,0.0378737596313598,,
26535,xGASS,0.5957049573247388,Q2,-0.1358925698223527,0.1613064662815663,,
55541,xGASS,0.7654315203559132,Q4_high,-0.0018940291494571,0.1797137337878079,,
110055,xGASS,0.4967791244621428,Q1_low,0.046757491681693,0.4450862257917785,,
26586,xGASS,0.547279775086744,Q2,0.0153889627583168,0.1800664341159534,,
23213,xGASS,0.7129290201286831,Q4_high,0.0586723882512001,0.1030949805728827,,
26569,xGASS,0.6363819446361494,Q3,0.0447519347098133,0.0739302371259785,,
26570,xGASS,0.4890164412018841,Q1_low,0.1840028031985983,0.0804369045509019,,
110059,xGASS,0.432395982777607,Q1_low,0.0976736910734681,0.5243196829929492,,
23227,xGASS,0.8441551214123209,Q4_high,0.031420597160046,0.0714072944889702,,
15181,xGASS,0.8365628496632691,Q4_high,-0.0189215445040993,0.1868003815175097,,
15211,xGASS,0.7805123298921722,Q4_high,0.0220134380025145,,,
15166,xGASS,0.5423731583245675,Q2,-0.1741125723704601,0.3211271448694174,,
29555,xGASS,0.58374695488426,Q2,0.1495905984805685,0.081241877432582,,
57099,xGASS,0.4695723056245592,Q1_low,-0.2111377646521917,,,
15151,xGASS,0.7782701459884072,Q4_high,-0.0182696063901892,0.0637898120949208,,
110054,xGASS,0.4974235891079268,Q1_low,-0.1691760375695068,0.1748655540742626,,
29505,xGASS,0.6664287929755786,Q3,-0.0411462089816581,0.0374766240964624,,
23445,xGASS,0.5691316056025066,Q2,-0.1992105758034719,0.0255340424562594,,
23496,xGASS,0.5169346170672252,Q1_low,-0.0063174877129239,0.4668765205633888,,
17640,xGASS,0.7297695446220831,Q4_high,0.0130611729062848,0.0470670809932424,,
17635,xGASS,0.7388889340434368,Q4_high,0.0888774582180325,0.0467710981124613,,
5442,xGASS,0.5664114805476903,Q2,-0.09379256072843,0.3030416413706736,,
17622,xGASS,0.7215016730814758,Q4_high,0.0526392903058372,0.1346202969855152,,
29624,xGASS,0.7045251154470382,Q4_high,-0.0347234978470649,0.1919550522828364,,
34989,xGASS,0.8103087360193904,Q4_high,0.03894320297002,0.1581974934442061,,
47896,xGASS,0.6440044429100267,Q3,0.1260878990414191,,,
17824,xGASS,0.7149838413309679,Q4_high,0.0625268660997733,0.1278804641829929,,
5701,xGASS,0.8095864076895776,Q4_high,0.0168044363751325,0.2015346472748763,,
48521,xGASS,0.472033829931751,Q1_low,-0.0140361403518705,0.1221048333758938,,
24496,xGASS,0.7032878542464877,Q3,0.0149068152043474,,,
29842,xGASS,0.8202961937132139,Q4_high,0.0475899032684017,0.0620406531855634,,
5848,xGASS,0.6979048040116724,Q3,0.0103420430275233,0.2441267612275392,,
23703,xGASS,0.7155955725446173,Q4_high,0.0963702521514004,0.0857633570173368,,
111093,xGASS,0.365940091889246,Q1_low,-0.3870234318350378,0.6886688102449373,,
48604,xGASS,0.6169790521793848,Q2,0.0804516040672065,0.1924240757941687,,
111030,xGASS,0.6140717864392828,Q2,-0.0018797604533644,0.0526060923508873,,
6015,xGASS,0.6582270984829337,Q3,-0.0522748992507127,,,
23757,xGASS,0.7170307739407175,Q4_high,0.0627810187240398,0.0780712804852559,,
23739,xGASS,0.7002589029056839,Q3,-0.1401849406221549,0.0275619050886785,,
111080,xGASS,0.6031510605282531,Q2,0.0112674955987963,0.098082586128394,,
48994,xGASS,0.6629203928248737,Q3,-0.0694467529637532,0.439148179229869,,
111047,xGASS,0.3566926380225605,Q1_low,0.0167687972767967,0.5660210731194294,,
