galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
UGC06614,0.04697371238776277,199.8,195.2664340028341,0.0099678887342346,10.960404367736713,0.6811008561659592,0.3188991438340408,8.747084147182726,11.88823529411765,5.1,0.0469737123877627,1.0,mature_or_control,0.5176439422823711,unknown
UGC06667,6.107938186934769,83.8,31.432013146060825,0.0604503500675063,9.249068661364879,0.3936386639390917,0.6063613360609084,7.027274334924381,1.6679611650485435,5.15,1.0,6.0,juvenile_forming,0.658059518904229,slowly_rising
UGC06786,0.8310845582062228,219.4,162.13710829964705,0.1313542000903415,10.6374236797072,0.8458313937142514,0.1541686062857485,8.726638809814512,5.641666666666667,3.6,0.8310845582062231,0.0,mature_or_control,0.8027713495211416,unknown
UGC06917,0.8624578184372445,108.7,79.65009925774248,0.0392533503170219,9.785798762190888,0.5593956692687736,0.4406043307312265,8.105800729702338,4.590579710144928,2.76,0.554827678826388,9.0,mature_or_control,0.7519195345613939,unknown
UGC06930,0.8002935311880265,107.2,79.89564825473207,-0.006096595113806,9.943059508996027,0.5091657821440827,0.4908342178559173,7.953887196986764,4.253807106598985,3.94,0.4322278984336695,7.0,mature_or_control,0.7021462232525187,unknown
UGC06983,1.0167544420163441,109.0,76.7538177984189,0.0320944838313198,9.819222043551013,0.4016612308210174,0.5983387691789827,8.008032110383153,5.006230529595015,3.21,0.5844562724929315,6.0,mature_or_control,0.6439468270420454,unknown
UGC07125,-0.3329776324924644,65.2,79.83207120362623,-0.2052260404052944,9.875788531662657,0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,3.38,0.0,9.0,failed_stalled,0.3441077445145193,slowly_falling
UGC07151,0.2007763591538858,73.5,67.07431940184374,-0.0073740640553597,9.292539599672017,0.5822728014357971,0.417727198564203,8.300539705297789,5.112,1.25,0.1616226850611351,6.0,mature_or_control,0.7403675728215676,unknown
UGC07399,2.8677100847118893,103.0,52.373339671746784,0.1634153659703244,9.19558142205319,0.3684227300251776,0.6315772699748223,7.967713857599678,4.786585365853659,1.64,1.0,8.0,juvenile_forming,0.6108574491711659,slowly_rising
UGC07524,1.127898509302196,79.5,54.49939403523283,-0.0387534953704185,9.554376483221354,0.3398371125563953,0.6601628874436046,7.678044417277685,3.5,3.46,0.4434167776765806,9.0,juvenile_forming,0.6272060763039489,steeply_falling
UGC07603,0.3205210304786123,61.6,53.605339526734014,0.057751956632184,8.725209009242763,0.3539556425801107,0.6460443574198893,8.47847740168307,8.245283018867925,0.53,0.3166759787314879,7.0,juvenile_forming,0.4272260078380597,slowly_rising
UGC08286,0.6784180692811644,82.4,63.60293230613589,0.072735555085245,9.170660613561282,0.4235972349732678,0.5764027650267323,8.33010214706329,7.685714285714286,1.05,0.5650259191107317,6.0,mature_or_control,0.4708234299793377,unknown
UGC08490,0.27852813296420237,78.6,69.51321923812193,0.0533551443808987,9.166163593747834,0.3468385512584407,0.6531614487415592,8.715834119988067,11.641791044776118,0.67,0.2785281329642021,9.0,juvenile_forming,0.4208126060935349,unknown
UGC08550,0.11697596691078381,56.9,53.83817774827711,0.0240219144224796,8.722255395004163,0.2739128786442734,0.7260871213557266,8.617650499095362,12.42222222222222,0.45,0.1169759669107838,7.0,juvenile_forming,0.3667982606803153,unknown
UGC09133,-0.05470486577852168,226.8,233.27024151484508,-0.0122162887862699,11.269331343142353,0.7608718569655787,0.2391281430344212,8.78468591858822,8.658536585365853,6.97,0.0,2.0,true_falsifier_candidate,0.5511509909019222,unknown
