model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
m4c_full_frozen,M_gas_Msun,87,0.1876781753651001,0.33017724519528335,9.826288659189004e-13,-0.0018607031317151624,0.1876781753651001,0.33017724519528335
m4c_full_frozen,RHI,87,0.22659596091641285,0.3198461735271609,0.0008746398046024091,-0.011443617816255382,0.22659596091641285,0.3198461735271609
m4c_full_frozen,H_halo,87,0.196081137322981,0.20268657009495059,0.2440898405980032,-0.2981380472770343,0.196081137322981,0.20268657009495059
m4c_full_frozen,r_over_Rdisk_eval,87,0.1419873823842553,0.20268657009495059,0.00445118040291745,-0.011861167270148834,0.1419873823842553,0.20268657009495059
m4c_full_frozen,Reff,87,0.117567792112308,0.19548269220946177,0.0024987011595632345,-0.004529618130389803,0.117567792112308,0.19548269220946177
m4c_full_frozen,log10_M_baryon_Msun,87,0.17871024426096593,0.19370124662827146,0.012450860604755086,-0.1194761975307814,0.17871024426096593,0.19370124662827146
m4c_full_frozen,M_baryon_Msun,87,0.10562650523381617,0.19370124662827146,9.229720130375019e-14,0.002017767897699995,0.10562650523381617,0.19370124662827146
m4c_full_frozen,Q_eff,87,0.09727156708070502,0.16866240183602185,0.029800041352435414,-0.0303097786171397,0.09727156708070502,0.16866240183602185
m4c_full_frozen,Rdisk,87,0.10829470655653886,0.12940265184844957,0.0025679442751463714,-0.002276092684866011,0.10829470655653886,0.12940265184844957
m4c_full_frozen,S_internal,87,0.11391721611003076,0.12085816805608528,0.054902424465642856,-0.052234471048107294,0.11391721611003076,0.12085816805608528
m4c_full_frozen,M_star_Msun,87,0.08610140068074042,0.12023401618429684,8.718116388490382e-14,0.0030014158115948928,0.08610140068074042,0.12023401618429684
m4c_full_frozen,S_struct,87,0.04711597987876841,0.11094691732656732,0.015935427185008327,-0.01105811906214626,0.04711597987876841,0.11094691732656732
m4c_full_frozen,v_flat_obs_km_s,87,-0.0863147191744655,-0.07246482467011736,-6.740576943159181e-05,0.016445722017877838,0.0863147191744655,0.07246482467011736
m4c_full_frozen,T,87,-0.015054776402567848,-0.045566713479893134,-0.0003346502582356722,0.008404530747642946,0.015054776402567848,0.045566713479893134
m4c_full_frozen,stellar_to_gas_ratio,87,-0.11861744716353916,-0.04414230516876867,-0.0007256354371389671,0.00992523952046633,0.11861744716353916,0.04414230516876867
m4c_full_frozen,star_frac,87,-0.07477475548935739,-0.04414230516876867,-0.01567323555061953,0.015656031043731772,0.07477475548935739,0.04414230516876867
m4c_full_frozen,gas_frac,87,0.07477475548935734,0.04414230516876867,0.015673235550619547,-1.720450688775687e-05,0.07477475548935734,0.04414230516876867
m4c_full_frozen,S_star_gas,87,-0.07490667896451395,-0.03375175040797381,-0.06949093323583405,0.0776763616412417,0.07490667896451395,0.03375175040797381
m4c_full_frozen,SBeff,87,0.013093563520886736,0.01637611293477406,1.128211432621543e-06,0.005909336038202767,0.013093563520886736,0.01637611293477406
