object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,R_HI_over_Rd,log10_Sigma_b,baryonic_maturity_score,maturity_gap,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,composition_gap,radial_distribution_gap,dynamical_settling_gap,star_formation_gap,shape_symmetry_gap,HI_extent_gap,total_maturity_gap,dominant_gap_family,required_mature_adjustment,m36_v_observed_km_s,m36_v_mature_endpoint_km_s,mature_endpoint_residual_log10,absolute_mature_endpoint_residual,endpoint_residual_direction,below_mature_bdvr_endpoint,above_mature_bdvr_endpoint,A_inferred,quarantine_flag,testability_class,measurement_limited_or_quarantined,clean_bridge_support_row,velocity_residual_is_outcome_only,m36_branch_used
UGC05005,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3325929759608286,0.6674070240391713,6.753125,7.981360962953233,0.4449776220119031,0.555022377988097,0.1408362282199201,0.1532361731604249,1.0,0.5,0.4308157086791707,0.8591478130073142,0.4956845829713838,0.0,0.0,0.4467094313049917,0.1762234294497789,0.3296275427889114,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,98.9,106.11924294591644,0.0305978514697671,0.0305978514697671,above_mature_endpoint,False,True,0.8403410231539875,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
ESO079-G014,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8609911892073615,0.1390088107926385,3.478346456692914,8.2678316681095,0.8635591040774326,0.13644089592256736,0.9999953667954816,0.8187123325256654,1.0,0.5,0.9990878210660158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,175.0,163.14195171426232,-0.030472395093818,0.030472395093818,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGCA442,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.1667500416875104,0.8332499583124896,3.703389830508475,7.681088205881671,0.6005806032820782,0.3994193967179218,0.0019639334466454,0.5024422670130589,1.0,0.5,0.9984968159506866,0.9980201077805888,0.1464784891187498,0.0,0.0,0.0,0.0,0.1907497661498897,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,56.4,52.88903485530941,-0.0279134621078221,0.0279134621078221,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC07603,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3539556425801107,0.6460443574198893,8.245283018867925,8.47847740168307,0.4126712094056716,0.5873287905943284,0.2246639645376594,0.3119505177833128,1.0,0.5,0.0267415647073861,0.7753200766895748,0.336970238348496,0.0,0.0,0.8507835752767763,0.4361195845237363,0.3998655791397639,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",61.6,57.941492612499005,-0.0265910334295371,0.0265910334295371,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
IC4202,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8457337330268883,0.1542662669731117,6.7217573221757325,8.869367172445768,0.7044507755807284,0.29554922441927156,0.9999930404701546,0.7342764404844867,0.84,0.5,0.4479843969490011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,242.6,228.39448636742952,-0.0262051810596485,0.0262051810596485,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC0891,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9209839202625252,0.0790160797374749,7.121568627450981,9.26440549866864,0.6582391102689475,0.34176088973105245,0.9999990643873417,0.7009480023163888,0.84,0.5,0.2502484846410074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,216.1,229.16641721395715,0.0254962081605126,0.0254962081605126,above_mature_endpoint,False,True,0.7463354013850007,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
F583-1,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,pre_activation,0.1484680387161279,0.8515319612838721,6.63135593220339,7.97721007350196,0.4354939344634237,0.5645060655365763,0.0012070595997262,0.178244085091432,1.0,0.5,0.4980185276259607,0.998776981627508,0.4706766710403768,0.0,0.0,0.3795066123582016,0.1550143402466868,0.3339957675454622,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,85.8,90.8593865700958,0.0248825125352315,0.0248825125352315,above_mature_endpoint,False,True,0.8682175583963055,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC3917,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8139148839043014,0.1860851160956985,5.353612167300381,8.492050627850366,0.8683691293337267,0.13163087066627333,0.9999837416720702,0.8975071819634368,1.0,0.5,0.9443547230331264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,135.9,128.3974084712592,-0.0246631985603293,0.0246631985603293,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC7814,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9632156039661288,0.0367843960338713,4.783464566929134,8.979724487335302,0.8606937176912733,0.13930628230872666,0.9999996966085262,0.9797954746100248,0.84,0.5,0.9836734172378164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,218.9,206.92698513381484,-0.0244286313153802,0.0244286313153802,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC06930,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5091657821440827,0.4908342178559173,4.253807106598985,7.953887196986764,0.7425754679030224,0.2574245320969776,0.9478586120752616,0.5201080111567553,0.75,0.5,0.9949107162830956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,107.2,113.31954022629942,0.0241100184232918,0.0241100184232918,above_mature_endpoint,False,True,0.8544600438959054,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC06786,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8458313937142514,0.1541686062857485,5.641666666666667,8.726638809814512,0.8633256194253699,0.1366743805746301,0.9999930585710478,0.917161960806896,1.0,0.5,0.8994730777489053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,219.4,210.5040355276997,-0.0179761972208674,0.0179761972208674,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC06917,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5593956692687736,0.4406043307312265,4.590579710144928,8.105800729702338,0.8023034414736727,0.19769655852632728,0.9857929773752222,0.5364202245492465,1.0,0.5,0.9893040054438949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,108.7,104.33054618752848,-0.0178180630954004,0.0178180630954004,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC08490,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3468385512584407,0.6531614487415592,11.641791044776118,8.715834119988067,0.404975127312242,0.595024872687758,0.193335653817076,0.3315254954805567,1.0,0.5,1.4487263577227492e-05,0.8066483874101582,0.317395260651252,0.0,0.0,0.8775106527205851,1.0277053049698164,0.5048766009586353,HI_extent,decrease excessive H I extension relative to the stellar disk or form stars in the organized disk,78.6,75.55060558750922,-0.0171845961961374,0.0171845961961374,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC3893,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7914094783066582,0.2085905216933418,8.756302521008404,9.01657639694944,0.6004255180495097,0.3995744819504903,0.999970371520492,0.4934082281628091,1.0,0.5,0.0087489905642478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,174.0,167.31189672729678,-0.0170224256745111,0.0170224256745111,below_mature_endpoint,True,False,1.0,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
NGC2903,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.9234267464940172,0.0765732535059827,5.90557939914163,9.113763500466842,0.8020810742850284,0.1979189257149716,0.9999991233922836,0.9277026282286142,0.75,0.5,0.832703619804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,184.6,191.88962876215083,0.0168198059607071,0.0168198059607071,above_mature_endpoint,False,True,0.8283195478752283,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
UGC02487,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9111431474496304,0.0888568525503695,5.095057034220533,8.837205710302111,0.8866831379723653,0.11331686202763469,0.9999987836353528,0.965523155714894,1.0,0.5,0.9678937505115796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mature_control_or_no_dominant_gap,,332.0,344.4562886831093,0.0159960343010751,0.0159960343010751,above_mature_endpoint,False,True,0.8833522354207538,False,testable_direct,False,True,True,hybrid_no_governor_mature_endpoint
