object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
UGC03205,UGC03205,219.6,8.6,113.642,9.677,3.19,28.6,8.965517241379311,True,1.0,0.75,1,0.5877342301284297,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC03546,UGC03546,196.9,7.4,101.336,2.675,3.79,18.37,4.846965699208443,True,1.0,0.75,1,0.8258526755547789,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC04278,UGC04278,91.4,4.8,1.307,1.116,2.21,8.9,4.027149321266968,True,0.0,0.25,0,0.5624436356871746,False,True,juvenile_forming,physical_ordering_candidate_or_control
UGC04325,UGC04325,90.9,2.7,2.026,0.678,1.86,6.61,3.553763440860215,True,0.1178330606459654,0.3089165303229826,1,0.7655216810842725,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC04499,UGC04499,72.8,2.4,1.552,1.1,1.73,8.67,5.011560693641618,True,0.0,0.25,1,0.5920079973765785,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC05005,UGC05005,98.9,7.2,4.1,3.093,3.2,21.61,6.753125,True,0.3207340607600083,0.4103670303800041,0,0.4541480183432526,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC05721,UGC05721,79.7,6.6,0.531,0.562,0.38,6.74,17.736842105263158,True,0.9095047610213016,0.7047523805106508,0,0.3396172864748568,False,True,juvenile_forming,physical_ordering_candidate_or_control
UGC06399,UGC06399,85.0,3.8,2.296,0.674,2.05,8.8,4.292682926829269,True,0.1543166850647691,0.3271583425323845,1,0.7528704145925351,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC06446,UGC06446,82.2,4.3,0.988,1.379,1.49,10.33,6.932885906040268,True,0.2907845859520869,0.3953922929760434,0,0.4290630349142279,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC06614,UGC06614,199.8,16.0,124.35,21.888,5.1,60.63,11.88823529411765,True,1.0,0.75,0,0.5176439422823711,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC06667,UGC06667,83.8,3.1,1.397,0.809,5.15,8.59,1.6679611650485435,True,0.0,0.25,1,0.658059518904229,False,True,juvenile_forming,physical_ordering_candidate_or_control
UGC06786,UGC06786,219.4,7.8,73.407,5.03,3.6,20.31,5.641666666666667,True,0.9265244652208636,0.7132622326104319,1,0.8027713495211416,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC06917,UGC06917,108.7,3.5,6.832,2.023,2.76,12.67,4.590579710144928,True,0.2211032226347184,0.3605516113173592,1,0.7519195345613939,False,False,mature_or_control,physical_ordering_candidate_or_control
