r_kpc,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s
14.567892976588627,4.726096578608489e-11,6.779611586601023e-11,1.1505708165209512e-10,145.7554960648653,227.42087222697856
14.687625418060199,4.647168279327743e-11,6.722761691318632e-11,1.1369929970646376e-10,145.12601366623156,227.00214530560498
14.807357859531772,4.56992012784549e-11,6.666652559137292e-11,1.1236572686982782e-10,144.50017186259873,226.58491418341168
14.927090301003343,4.4943137462371115e-11,6.611274822820093e-11,1.1105588569057204e-10,143.87805101105803,226.16929416179943
15.046822742474916,4.420311566929255e-11,6.556619152792199e-11,1.0976930719721453e-10,143.2597259154984,225.75539445133316
15.166555183946487,4.347876822392097e-11,6.502676261463284e-11,1.0850553083855382e-10,142.64526604143597,225.34331839294805
15.286287625418058,4.276973534448888e-11,6.449436907277862e-11,1.072641044172675e-10,142.03473572384556,224.93316367195732
15.406020066889631,4.20756650325151e-11,6.39689189850691e-11,1.0604458401758419e-10,141.42819436821958,224.52502252510652
15.525752508361203,4.139621295966744e-11,6.345032096793245e-11,1.0484653392759989e-10,140.82569664506644,224.11898194090276
15.645484949832774,4.073104235215344e-11,6.293848420462937e-11,1.036695265567828e-10,140.22729267806176,223.71512385344974
15.765217391304347,4.0079823873022923e-11,6.24333184761399e-11,1.0251314234916282e-10,139.63302822604973,223.3135253300004
15.884949832775918,3.9442235502739496e-11,6.193473418993145e-11,1.0137696969267096e-10,139.04294485908792,222.91425875243468
16.00468227424749,3.881796241835432e-11,6.14426424067136e-11,1.0026060482506793e-10,138.45708012872748,222.5173919928684
16.124414715719062,3.820669687158096e-11,6.095695486527299e-11,9.916365173685395e-11,137.87546773269878,222.1229885835745
16.244147157190636,3.760813806605868e-11,6.047758400548646e-11,9.808572207154515e-11,137.29813767418707,221.73110788141352
16.363879598662205,3.70219920340564e-11,6.000444298959581e-11,9.702643502365221e-11,136.7251164158544,221.34180522693842
16.483612040133778,3.6447971512862125e-11,5.953744572183362e-11,9.598541723469574e-11,136.1564270287805,220.9551320983591
16.60334448160535,3.588579582106903e-11,5.907650686647427e-11,9.49623026875433e-11,135.59208933646622,220.5711362605149
16.72307692307692,3.533519073496794e-11,5.862154186439364e-11,9.395673259936158e-11,135.03212005406556,220.1898619090337
16.842809364548494,3.479588836522055e-11,5.817246694820242e-11,9.296835531342298e-11,134.47653292297557,219.81134980981014
16.962541806020067,3.426762703398839e-11,5.77291991560277e-11,9.199682619001609e-11,133.9253388409364,219.43563743396507
17.082274247491636,3.3750151152668774e-11,5.729165634400707e-11,9.104180749667584e-11,133.37854598777452,219.06275908842375
17.20200668896321,3.324321110037713e-11,5.685975719755746e-11,9.01029682979346e-11,132.83615994691954,218.69274604224887
17.321739130434782,3.2746563103301685e-11,5.643342124147801e-11,8.91799843447797e-11,132.29818382281968,218.32562664885836
17.44147157190635,3.225996911504963e-11,5.6012568848947016e-11,8.827253796399665e-11,131.7646183543875,217.9614264642643
17.561204013377925,3.1783196698085096e-11,5.559712124946471e-11,8.73803179475498e-11,131.23546202458735,217.6001683614478
17.680936454849498,3.1316018906352806e-11,5.518700053579355e-11,8.650301944214635e-11,130.7107111662808,217.24187264098916
17.800668896321067,3.085821416917419e-11,5.4782129669948e-11,8.564034383912219e-11,130.19036006444676,216.88655713807327
17.92040133779264,3.0409566176490406e-11,5.438243248828078e-11,8.479199866477118e-11,129.6744010548838,216.53423732598065
18.040133779264213,2.996986376551552e-11,5.398783370570709e-11,8.395769747122261e-11,129.16282461949183,216.1849264161617
18.159866220735786,2.953890080886544e-11,5.3598258919116216e-11,8.313715972798165e-11,128.65561947824872,215.83863545501305
18.279598662207356,2.911647610420907e-11,5.3213634610006476e-11,8.233011071421554e-11,128.15277267796904,215.49537341744366
18.39933110367893,2.870239326548998e-11,5.283388814638575e-11,8.153628141187573e-11,127.65426967794706,215.15514729733331
18.5190635451505,2.8296460615756764e-11,5.2458947783974635e-11,8.07554083997314e-11,127.16009443257475,214.81796219497613
18.63879598662207,2.7898491081636377e-11,5.2088742666748566e-11,7.998723374838494e-11,126.67022947102757,214.48382140160058
18.758528428093644,2.7508302089476585e-11,5.1723202826852044e-11,7.923150491632863e-11,126.18465597410056,214.15272648104988
18.878260869565217,2.7125715463184863e-11,5.1362259183921596e-11,7.848797464710646e-11,125.70335384828974,213.8246773487171
18.997993311036787,2.675055732377682e-11,5.100584354384371e-11,7.775640086762053e-11,125.22630179718857,213.49967234780416
19.11772575250836,2.6382657990652416e-11,5.065388859698171e-11,7.703654658763413e-11,124.75347739028844,213.17770832299252
19.237458193979933,2.602185188461245e-11,5.030632791590206e-11,7.63281798005145e-11,124.28485712926555,212.8587806916095
19.357190635451502,2.5667977432615285e-11,4.996309595262122e-11,7.56310733852365e-11,123.82041651181393,212.54288351234524
19.476923076923075,2.5320876974285225e-11,4.9624128035406714e-11,7.494500500969194e-11,123.3601300931159,212.23000955161336
19.59665551839465,2.4980396670168814e-11,4.92893603651536e-11,7.426975703532241e-11,122.90397154501116,211.9201503476146
19.716387959866218,2.4646386411738076e-11,4.895873001136163e-11,7.360511642309971e-11,122.45191371293687,211.61329627217324
19.83612040133779,2.4318699733137316e-11,4.863217490773747e-11,7.295087464087479e-11,122.00392867070967,211.30943659041705
19.955852842809364,2.3997193724663964e-11,4.8309633847441814e-11,7.230682757210577e-11,121.55998777320835,211.0085595183572
20.075585284280933,2.368172894797792e-11,4.799104647800609e-11,7.167277542598401e-11,121.120061707031,210.71065227844062
