galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC2841,25.28962343096234,6.947698744769873,1.1842448489614001,2.3333036522486333e-11,6.266394867414093e-11,8.599698519662727e-11,134.93732124101825,259.05266660568066,287527114978.11,1500639.5164625538
NGC2841,25.464769874476985,6.995815899581589,1.1847395570753467,2.3013171528828972e-11,6.225894391374114e-11,8.527211544257011e-11,134.472471752165,258.85029787680566,289639363732.8524,1479878.9974637225
NGC2841,25.63991631799163,7.043933054393305,1.1852263938336067,2.269983912066382e-11,6.185906151393767e-11,8.455890063460149e-11,134.01239351983537,258.6504499942067,291751338602.23535,1459537.641809589
NGC2841,25.815062761506276,7.092050209205021,1.1857054844781945,2.2392862615274773e-11,6.146420370654722e-11,8.385706632182199e-11,133.55700547758505,258.4530714385736,293863030919.00745,1439604.416317851
NGC2841,25.990209205020918,7.140167364016736,1.1861769522583836,2.209207126308813e-11,6.107427525619899e-11,8.316634651928711e-11,133.10622847426956,258.2581121193923,295974432361.0662,1420068.646212449
NGC2841,26.165355648535563,7.188284518828451,1.1866409184624154,2.1797300010181114e-11,6.068918337718527e-11,8.248648338736639e-11,132.6599852162539,258.06552332681866,298085534942.6687,1400920.001229318
NGC2841,26.340502092050208,7.236401673640167,1.1870975024487,2.150838927180752e-11,6.030883765360374e-11,8.181722692541127e-11,132.21820021173875,257.87525768543264,300196331005.83514,1382148.4823490058
NGC2841,26.515648535564853,7.2845188284518825,1.1875468216765235,2.12251847163602e-11,5.993314996263941e-11,8.115833467899961e-11,131.78079971711355,257.68726910979024,302306813211.94006,1363744.4091235797
NGC2841,26.690794979079495,7.3326359832635974,1.1879889917362636,2.094753705922448e-11,5.956203440084298e-11,8.050957146006747e-11,131.34771168524816,257.50151276169333,304416974533.4888,1345698.4075684259
NGC2841,26.86594142259414,7.380753138075313,1.1884241263791266,2.067530186600806e-11,5.919540721326858e-11,7.987070907927665e-11,130.91886571564189,257.31794500910144,306526808246.07404,1328001.3985892877
NGC2841,27.041087866108786,7.428870292887029,1.1888523375464115,2.0408339364663418e-11,5.88331867253422e-11,7.924152609000562e-11,130.49419300635148,257.13652338661404,308636307920.51086,1310644.5869182316
NGC2841,27.21623430962343,7.476987447698744,1.1892737353983058,2.0146514266046233e-11,5.847529327733788e-11,7.862180754338412e-11,130.07362630762316,256.9572065574547,310745467415.1434,1293619.4505321546
NGC2841,27.391380753138073,7.525104602510459,1.1896884283422267,1.9889695592479665e-11,5.812164916134529e-11,7.801134475382495e-11,129.65709987715803,256.77995427689217,312854280868.3229,1276917.730531582
NGC2841,27.566527196652718,7.573221757322175,1.1900965230607092,1.963775651391893e-11,5.77721785606184e-11,7.740993507453732e-11,129.24454943694312,256.60472735703667,314962742691.0534,1260531.421454061
NGC2841,27.741673640167363,7.621338912133891,1.1904981245388497,1.9390574191333528e-11,5.7426807491200166e-11,7.681738168253369e-11,128.83591213158405,256.4314876329524,317070847559.7973,1244452.7620037189
NGC2841,27.91682008368201,7.669456066945607,1.190893336091316,1.914802962694595e-11,5.708546374572392e-11,7.623349337266987e-11,128.43112648807764,256.26019793003064,319178590409.4442,1228674.2261751506
NGC2841,28.09196652719665,7.717573221757322,1.1912822593889247,1.8910007520985934e-11,5.67480768392963e-11,7.565808436028223e-11,128.0301323769659,256.09082203256935,321285966426.43445,1213188.514752284
NGC2841,28.267112970711295,7.765690376569037,1.1916649944847961,1.8676396134638415e-11,5.641457795737229e-11,7.50909740920107e-11,127.63287097481634,255.9233246535095,323392971042.0365,1197988.547164831
NGC2841,28.44225941422594,7.8138075313807525,1.1920416398400946,1.844708715888089e-11,5.6084899905536536e-11,7.453198706441743e-11,127.23928472797469,255.75767140527913,325499599925.77454,1183067.453685283
NGC2841,28.617405857740586,7.861924686192468,1.1924122923493583,1.8221975588922746e-11,5.575897706110956e-11,7.39809526500323e-11,126.84931731753977,255.59382877169884,327605848979.0036,1168418.5679491053
NGC2841,28.792552301255228,7.910041841004183,1.1927770473654251,1.80009596039748e-11,5.543674532650154e-11,7.343770493047634e-11,126.46291362551183,255.43176408090574,329711714328.6279,1154035.4197842474
NGC2841,28.967698744769873,7.958158995815899,1.1931359987239636,1.7783940452091995e-11,5.5118142084240054e-11,7.290208253633205e-11,126.0800197020686,255.27144547925263,331817192320.962,1139911.7283342266
NGC2841,29.142845188284518,8.006276150627615,1.1934892387676128,1.7570822339846056e-11,5.480310615360153e-11,7.237392849344759e-11,125.70058273392435,255.11284190614398,333922279515.7279,1126041.3954618247
NGC2841,29.317991631799163,8.05439330543933,1.1938368583697374,1.7361512326598018e-11,5.4491577748779655e-11,7.185309007537768e-11,125.32455101373043,254.95592306976894,336026972680.19,1112418.4994201045
NGC2841,29.493138075313805,8.102510460251045,1.1941789469578061,1.7155920223152697e-11,5.4183498438527233e-11,7.133941866167993e-11,124.95187391047648,254.80065942369646,338131268783.42096,1099037.2887781754
NGC2841,29.66828451882845,8.150627615062762,1.194515592536397,1.695395849458872e-11,5.387881110721061e-11,7.083276960179934e-11,124.5825018408543,254.64702214429695,340235164990.6987,1085892.1765900836
NGC2841,29.843430962343096,8.198744769874477,1.194846881709838,1.6755542167068852e-11,5.357745991721936e-11,7.033300208428821e-11,124.21638624154741,254.49498310895774,342338658658.02936,1072977.7347961953
NGC2841,30.018577405857737,8.246861924686192,1.1951728997044857,1.6560588738445102e-11,5.327939027267559e-11,6.983997901112069e-11,123.85347954241107,254.3445148750603,344441747326.79584,1060288.6888459371
