galaxy_name,r_kpc,r_over_Rd,q_eff,a_b_m_s2,a_bdvr_m_s2,a_total_m_s2,v_newton_km_s,v_bdvr_km_s,M_bdvr_eff_Msun,rho_bdvr_eff_Msun_kpc3
NGC2841,7.774979079497908,2.1359832635983262,1.0607346323925029,2.4686375178737664e-10,1.8256857849491836e-10,4.29432330282295e-10,243.3624392348243,320.9757749004327,79177323339.0502,14796790.132406395
NGC2841,7.950125523012552,2.1841004184100417,1.0631945252650694,2.3610642852147715e-10,1.7896053136062857e-10,4.150669598821057e-10,240.66679331785826,319.0959906982265,81148697899.02261,14190069.811861549
NGC2841,8.125271966527196,2.232217573221757,1.065615278509229,2.260372267777596e-10,1.7550158654614795e-10,4.0153881332390754e-10,238.05878406564983,317.2911738617136,83125291906.0463,13620319.127617234
NGC2841,8.300418410041841,2.280334728033473,1.0679975148799514,2.1659868384562305e-10,1.721824058647259e-10,3.8878108971034893e-10,235.53376361280988,315.55700936130137,85106957546.9034,13084550.292484136
NGC2841,8.475564853556484,2.328451882845188,1.0703418472234827,2.0773921229622698e-10,1.6899442145479126e-10,3.7673363375101824e-10,233.08742203442938,313.88950529984805,87093550390.74779,12580074.456262032
NGC2841,8.65071129707113,2.3765690376569037,1.0726488786350052,1.994123935889648e-10,1.6592975782247837e-10,3.6534215141144316e-10,230.7157563968899,312.2849629850675,89084929318.8916,12104466.297742428
NGC2841,8.825857740585773,2.4246861924686187,1.0749192026137862,1.9157636881410873e-10,1.6298116316602595e-10,3.5455753198013465e-10,228.41504320387804,310.7399503031728,91080956455.96922,11655533.433076046
NGC2841,9.001004184100418,2.4728033472803346,1.0771534032158607,1.8419331160082048e-10,1.6014194871777276e-10,3.443352603185932e-10,226.18181380602277,309.2512779726292,93081497102.45421,11231289.904281717
NGC2841,9.176150627615062,2.52092050209205,1.0793520552042828,1.7722897076633303e-10,1.5740593503252434e-10,3.3463490579885737e-10,224.01283240466114,307.81597831763395,95086419668.50133,10829933.136104636
NGC2841,9.351297071129707,2.569037656903766,1.0815157241969888,1.7065227235632787e-10,1.5476740431157624e-10,3.2541967666790414e-10,221.90507633239258,306.43128625194635,97095595609.09134,10449823.850899965
NGC2841,9.52644351464435,2.617154811715481,1.0836449668123043,1.644349724230111e-10,1.5222105798562644e-10,3.1665603040863753e-10,219.85571833704913,305.09462220667564,99108899360.45105,10089468.514299894
NGC2841,9.701589958158996,2.6652719665271967,1.0857403308121398,1.5855135328042848e-10,1.4976197889199846e-10,3.083133321724269e-10,217.86211063289417,303.80357677196946,101126208277.72661,9747503.952740023
NGC2841,9.87673640167364,2.7133891213389116,1.0878023552429041,1.5297795712481905e-10,1.4738559747587585e-10,3.003635546006949e-10,215.92177051442033,302.55589685337384,103147402573.88507,9422683.840274893
NGC2841,10.051882845188285,2.7615062761506275,1.0898315705741803,1.4769335185777356e-10,1.4508766152474552e-10,2.927810133825191e-10,214.03236735497745,301.349473169862,105172365259.82141,9113866.798817072
NGC2841,10.227029288702928,2.809623430962343,1.0918284988351903,1.4267792473867408e-10,1.4286420901249028e-10,2.8554213375116436e-10,212.19171083539686,300.18232894291367,107200982085.64795,8820005.894733803
NGC2841,10.402175732217573,2.8577405857740583,1.0937936537490907,1.3791370014994177e-10,1.4071154368662447e-10,2.7862524383656624e-10,210.39774026741404,299.05260964518664,109233141483.14366,8540139.347111518
NGC2841,10.577322175732217,2.9058577405857737,1.0957275408651326,1.333841783078009e-10,1.3862621308071814e-10,2.7201039138851903e-10,208.64851489355505,297.95857369376665,111268734509.34161,8273382.290078942
NGC2841,10.752468619246862,2.9539748953974896,1.0976306576887167,1.2907419221173065e-10,1.3660498867548617e-10,2.656791808872168e-10,206.94220505966817,296.89858398713335,113307654791.23244,8018919.454323502
NGC2841,10.927615062761506,3.0020920502092046,1.0995034938093806,1.249697805130497e-10,1.346448479674779e-10,2.596146284805276e-10,205.27708416881416,295.87110019719444,115349798471.563,7775998.652075591
NGC2841,11.10276150627615,3.0502092050209204,1.1013465310267474,1.2105807430974683e-10,1.3274295823472314e-10,2.5380103254446994e-10,203.65152133607253,294.8746717383008,117395064155.70918,7543924.966008141
NGC2841,11.277907949790794,3.098326359832636,1.1031602434744734,1.1732719615101424e-10,1.308966618148626e-10,2.482238579658768e-10,202.0639746732281,293.90793134431834,119443352859.60228,7322055.55618983
NGC2841,11.45305439330544,3.1464435146443512,1.1049450977422224,1.1376616976934943e-10,1.2910346273385734e-10,2.4286963250320675e-10,200.5129851404817,292.96958919279297,121494567958.68964,7109795.0108603565
NGC2841,11.628200836820083,3.1945606694560666,1.106701552995697,1.1036483925747147e-10,1.2736101454288235e-10,2.377258538003538e-10,198.9971709094566,292.0584275221799,123548615137.90813,6906591.176696907
NGC2841,11.803347280334728,3.2426778242677825,1.1084300610947642,1.0711379657730893e-10,1.256671092379126e-10,2.3278090581522154e-10,197.5152221879985,291.1732956941672,125605402342.6533,6711931.412702022
NGC2841,11.978493723849372,3.2907949790794975,1.1101310667096986,1.0400431643366131e-10,1.2401966715118863e-10,2.2802398358484995e-10,196.06589646271513,290.3131056584174,127664839730.72363,6525339.219065103
NGC2841,12.153640167364017,3.3389121338912133,1.1118050074355768,1.0102829766968512e-10,1.224167277165248e-10,2.234450253862099e-10,194.64801411998107,289.4768277817004,129726839625.22174,6346371.198573033
NGC2841,12.32878661087866,3.3870292887029287,1.1134523139048504,9.81782104483413e-11,1.208564410215648e-10,2.190346514699061e-10,193.26045441033304,288.66348700746784,131791316468.39418,6174614.313472507
NGC2841,12.503933054393306,3.435146443514644,1.1150734098981316,9.544704857604534e-11,1.1933706006982636e-10,2.147841086458717e-10,191.90215172487893,287.8721593155129,133858186776.3926,6009683.405292939
NGC2841,12.67907949790795,3.4832635983263596,1.116668712453212,9.282828640423656e-11,1.178569336839042e-10,2.1068522008814075e-10,190.57209215560596,287.10196845452674,135927369094.93723,5851218.949110216
NGC2841,12.854225941422595,3.5313807531380754,1.1182386319723483,9.031583981329902e-11,1.1641449998868033e-10,2.0673033980197935e-10,189.26931031435666,286.3520829231597,137998783955.86658,5698885.017178549
NGC2841,13.029372384937238,3.5794979079497904,1.1197835723278413,8.790403084281368e-11,1.1500828041996846e-10,2.0291231126278215e-10,187.99288638779393,285.62171317767303,140072353834.55606,5552367.42983439
NGC2841,13.204518828451882,3.627615062761506,1.1213039309659356,8.558755558382015e-11,1.1363687420980862e-10,1.9922442979362877e-10,186.74194340793963,284.9101090464634,142148003108.189,5411372.074176303
NGC2841,13.379665271966527,3.6757322175732217,1.1228000990090634,8.336145499374473e-11,1.1229895330473778e-10,1.9566040829848252e-10,185.5156447198834,284.2165573336887,144225658014.86264,5275623.373284665
NGC2841,13.55481171548117,3.7238493723849366,1.1242724613564652,8.122108833385455e-11,1.1099325767787681e-10,1.9221434601173135e-10,184.3131916300462,283.54037959596275,146305246613.51535,5144862.890713927
NGC2841,13.729958158995816,3.7719665271966525,1.125721396783207,7.916210896333336e-11,1.0971859099966979e-10,1.8888069996300315e-10,183.13382121997935,282.880930077628,148386698744.65686,5018848.056716064
NGC2841,13.905104602510459,3.820083682008368,1.127147278037622,7.718044225402597e-11,1.0847381663565596e-10,1.8565425888968193e-10,181.97680431210267,282.2375937914945,150469945991.8876,4897351.004164741
NGC2841,14.080251046025104,3.8682008368200833,1.1285504719372044,7.527226541614581e-11,1.072578539428002e-10,1.8253011935894602e-10,180.8414435750573,281.60978473316794,152554921644.19162,4780157.503472871
NGC2841,14.255397489539748,3.9163179916317987,1.1299313394629737,7.343398904828488e-11,1.0606967483870718e-10,1.7950366388699205e-10,179.72707175748886,280.99694421818856,154641560658.98785,4667065.986961111
NGC2841,14.430543933054393,3.9644351464435146,1.131290235852341,7.166224024532958e-11,1.049083006205372e-10,1.7657054086586678e-10,178.63305004009797,280.3985393321937,156729799625.92575,4557886.654160829
NGC2841,14.605690376569036,4.01255230125523,1.1326275106904942,6.99538471157349e-11,1.0377279901266561e-10,1.7372664612840053e-10,177.55876649671046,279.8140614852015,158819576731.4102,4452440.650438949
NGC2841,14.780836820083682,4.060669456066945,1.1339435080003346,6.830582457535545e-11,1.0266228142411406e-10,1.7096810599946953e-10,176.5036346559458,279.24302506191196,160910831723.843,4350559.312128256
NGC2841,14.955983263598325,4.108786610878661,1.1352385663309752,6.671536129894742e-11,1.0157590039855966e-10,1.682912616975071e-10,175.4670921558034,278.68496616063743,163003505879.56494,4252083.472056132
NGC2841,15.13112970711297,4.156903765690377,1.1365130188448371,6.517980772276584e-11,1.005128472413203e-10,1.6569265496408613e-10,174.4485994841548,278.139441414121,165097541969.4872,4156862.8199902102
NGC2841,15.306276150627614,4.205020920502092,1.1377671934033575,6.369666500259518e-11,9.947234980914209e-11,1.6316901481173728e-10,173.44763879873344,277.60602688608486,167192884226.39752,4064755.313070781
NGC2841,15.48142259414226,4.2531380753138075,1.1390014126513333,6.22635748412349e-11,9.845367044989802e-11,1.607172452911329e-10,172.4637128207597,277.08431703787545,169289478312.9283,3975626.631797555
NGC2841,15.656569037656903,4.3012552301255225,1.1402159940999244,6.087831010806956e-11,9.745610408046096e-11,1.5833441418853053e-10,171.49634379683172,276.5739237600518,171387271290.1738,3889349.67757558
NGC2841,15.831715481171548,4.349372384937238,1.141411250208336,5.953876618101229e-11,9.64789763920516e-11,1.560177425730639e-10,170.5450725241585,276.07447546418933,173486211586.94452,3805804.1082155085
NGC2841,16.00686192468619,4.397489539748953,1.1425874884641993,5.824295294793883e-11,9.552164217330027e-11,1.537645951212391e-10,169.60945743461838,275.5856162305682,175586248969.64548,3724875.90813231
NGC2841,16.182008368200837,4.445606694560669,1.1437450114626762,5.698898741082015e-11,9.458348374210509e-11,1.5157247115292523e-10,168.6890737334926,275.10700500776437,177687334512.76694,3646456.9903003476
NGC2841,16.35715481171548,4.493723849372384,1.1448841169843034,5.577508684120537e-11,9.366390947813369e-11,1.4943899631933906e-10,167.78351258905835,274.6383148604878,179789420569.9753,3570444.827299124
NGC2841,16.532301255230124,4.5418410041841,1.1460050980715986,5.45995624405764e-11,9.27623524485066e-11,1.4736191488908299e-10,166.89238036952977,274.1792322623021,181892460745.79373,3496742.109033716
NGC2841,16.70744769874477,4.589958158995816,1.1471082431044468,5.3460813463457716e-11,9.187826911982576e-11,1.4533908258328347e-10,166.01529792411156,273.7294564301287,183996409867.85843,3425256.4249407346
NGC2841,16.882594142259414,4.638075313807531,1.1481938358742894,5.235732176507581e-11,9.101113815027944e-11,1.4336845991535524e-10,165.15189990518286,273.28869869768147,186101223959.74295,3355899.9686880256
NGC2841,17.057740585774056,4.686192468619246,1.1492621556571305,5.128764673887611e-11,9.016045925606966e-11,1.4144810599494576e-10,164.30183412885964,272.85668192519717,188206860214.33646,3288589.263558745
