object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,M_star_Msun,M_gas_Msun,M_baryon_Msun,R_d_star_kpc,R_HI_kpc,R_HI_over_Rd,log10_Sigma_b,Sigma_baryon_1Rd,Sigma_baryon_2p2Rd,baryonic_concentration_2p2Rd,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,baryonic_maturity_score,quality_reliability_separate,maturity_inputs_baryon_only,quarantine_flag,testability_class,measurement_uncertainty_penalty_separate
UGC04278,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.3056909504252074,0.6943090495747926,653500000.0,1484280000.0000002,2137780000.0000002,2.21,8.9,4.027149321266968,7.842998593983464,27850741.537121337,15423668.517078925,0.5358021535935994,0.07407266477310662,0.4636708111224593,0.84,0.5,0.9969183382274822,0.5749323628246096,True,True,False,measurement_limited,0.4285714285714285
UGC04499,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3465832961143367,0.6534167038856633,776000000.0,1463000000.0000002,2239000000.0,1.73,8.67,5.011560693641618,8.075782018963324,40704862.872771494,23195547.243536178,0.47145252941269056,0.1922763006429242,0.3865865197785878,1.0,0.5,0.9731851638379586,0.6104095968518941,True,True,False,testable_direct,0.0
UGC00128,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.378148431753646,0.621851568246354,6010000000.0,9883230000.000002,15893230000.000002,5.95,31.27,5.25546218487395,7.85399836854531,24266329.525396585,13768797.050262304,0.4663510898007365,0.35582080571429614,0.3473606567365579,1.0,0.5,0.954765933573635,0.6315894792048978,True,True,False,testable_direct,0.0
F563-V2,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.341041215047844,0.658958784952156,1493000000.0,2884770000.0,4377770000.0,2.43,11.37,4.679012345679012,8.071860525241643,42358307.08499792,23963590.161472365,0.49148098973549165,0.17036036152456302,0.4066278570031452,0.52,0.5,0.9870114747723839,0.5167999386600185,True,True,False,measurement_limited,0.6857142857142857
F568-V1,direct_sparc_m36_m41,measurement_contaminated_candidates,juvenile_forming,measurement_limited,0.3659915836288376,0.6340084163711625,1912500000.0,3313030000.0000005,5225530000.0,2.85,14.38,5.045614035087719,8.010260757011247,35399797.02826646,20081682.564262625,0.47462947707700903,0.2854201776806811,0.37102929157451786,0.68,0.5,0.9711380623024133,0.5615175063115225,True,True,False,measurement_limited,0.4571428571428571
UGC07399,direct_sparc_m36_m41,clean_juvenile_failed_candidates,juvenile_forming,transition,0.3684227300251776,0.6315772699748223,578000000.0,990850000.0,1568850000.0,1.64,7.85,4.786585365853659,7.967713857599678,33412257.20520693,18833919.397626832,0.49095559745437933,0.29882450664089033,0.3827585235772723,1.0,0.5,0.983561664808833,0.6330289390053991,True,True,False,testable_direct,0.0
UGC06614,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.6811008561659592,0.3188991438340408,62175000000.0,29111040000.000004,91286040000.0,5.1,60.63,11.88823529411765,8.747084147182726,210664285.53977606,109371430.46651626,0.4738437002733363,0.9994389737215433,0.3564163018647008,0.75,0.5,8.378107982398002e-06,0.5211727307388453,True,True,False,testable_direct,0.2571428571428571
NGC4157,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.828384620186985,0.171615379813015,52810000000.0,10940580000.000002,63750580000.0,2.32,24.09,10.383620689655173,9.275328302176332,847585256.470894,434361435.7495907,0.5576199765071252,0.9999889464589223,0.5210652731342665,1.0,0.5,0.00023721840402701137,0.6042582875994432,True,True,False,testable_direct,0.0
NGC2841,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.8785671753318778,0.1214328246681222,94060500000.0,13000750000.000002,107061250000.0,3.64,45.12,12.395604395604394,9.109249674051874,604908084.5687124,307807033.028853,0.57922090874502,0.9999971004442962,0.5752863563020789,0.75,0.5,2.7132329218143997e-06,0.5650572339958594,True,True,False,testable_direct,0.0285714285714285
NGC4100,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8780208298223735,0.1219791701776264,29697000000.0,4125660000.0,33822660000.0,2.15,18.06,8.4,9.066150971722134,554694827.9244655,283625336.3163791,0.5893990318335987,0.9999970578909424,0.5989154873286422,1.0,0.5,0.01911004654152889,0.6236045183522226,True,True,False,testable_direct,0.0
NGC2403,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.5412838794329377,0.4587161205670624,5020500000.0,4254670000.0,9275170000.0,1.39,15.11,10.870503597122305,8.883112409462322,240813525.1851629,128294838.8257265,0.4063611137914896,0.977173206364622,0.33581176023690973,0.75,0.5,8.04130170318572e-05,0.5126130759237127,True,True,False,testable_direct,0.0285714285714285
NGC2998,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7075245007001539,0.292475499299846,75451000000.0,31189830000.0,106640830000.0,6.2,43.58,7.029032258064516,8.644960269237012,182883982.33977753,96220415.15018152,0.5273783815683543,0.9997226109642958,0.5209196669489282,1.0,0.5,0.2907692159971696,0.6622822987820787,True,True,False,testable_direct,0.0
ESO563-G021,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8280175220606345,0.1719824779393654,155588500000.0,32316339999.999996,187904840000.0,5.45,55.71,10.222018348623854,9.00296509376827,452884534.1034034,232164617.66812053,0.5580155550470437,0.9999888377225269,0.5220858347573619,1.0,0.5,0.00033967697009503665,0.6044828698899967,True,True,False,testable_direct,0.0
NGC3893,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7914094783066582,0.2085905216933418,29262500000.0,7712670000.000001,36975170000.0,2.38,20.84,8.756302521008404,9.01657639694944,454828420.64316946,234928938.519009,0.5472370403917126,0.9999703715204921,0.49340822816280916,1.0,0.5,0.008748990564247846,0.6004255180495097,True,True,False,testable_direct,0.0
NGC6674,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7150059174672374,0.2849940825327626,107327000000.0,42779450000.00001,150106450000.0,6.04,50.02,8.281456953642385,8.816145608463174,266756854.3512934,139540578.90842733,0.515668113986165,0.9997727690944497,0.4172424109237649,1.0,0.5,0.0247271104022709,0.5883484580840971,True,True,False,testable_direct,0.0
