model_label,placement,activation_name,disorder_name,alpha,beta,gamma,floor,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,frac_within_020_dex,n_above_020_dex,n_above_030_dex,delta_median_abs_vs_frozen_m4c,delta_frac010_vs_frozen_m4c,target_gate,target_new_pred_km_s,target_new_log10_error,target_new_abs_log10_error,hard_analog_median_abs_log10_error,hard_analog_mean_abs_log10_error,objective
star_frac__gas__hi_extent,q_eff,star_frac,hi_extent,1.0,2.0,4.0,0.05,0.27968512820960995,0.30499943917331573,0.621729687089232,0.05747126436781609,0.13793103448275862,0.1724137931034483,72,42,0.23807122874025505,-0.8965517241379309,0.09947789506592913,35.09546646087772,-0.2689965766503377,0.2689965766503377,0.4779087068275468,0.4569200603738747,4.076356385243702
sigma_star__gas__low_v_for_mass_symptom,q_eff,sigma_star,low_v_for_mass_symptom,1.0,0.25,4.0,0.05,0.29690993587260117,0.31106050043121947,0.7057672983576866,0.05747126436781609,0.08045977011494253,0.1839080459770115,71,40,0.2552960364032463,-0.8965517241379309,0.07520226662223238,30.514284482935146,-0.3297444049148519,0.3297444049148519,0.46751460376695636,0.47881989268089736,4.082358868165796
star_frac__gas__hi_extent,q_eff,star_frac,hi_extent,1.0,4.0,2.0,0.0,0.35657280176219125,0.3700665843868273,1.020347080069195,0.08045977011494253,0.13793103448275862,0.21839080459770116,68,48,0.31495890229283635,-0.8735632183908045,0.042156779963955,22.84659278972867,-0.4554261546938179,0.4554261546938179,0.7008991740893726,0.6945782084470322,4.08632058711602
stellar_to_gas__gas__low_v_for_mass_symptom,q_eff,stellar_to_gas,low_v_for_mass_symptom,1.0,2.0,4.0,0.1,0.3073176181233804,0.3036678575546047,0.5383771483298667,0.022988505747126436,0.09195402298850575,0.1724137931034483,72,46,0.2657037186540255,-0.9310344827586207,0.1070458170637971,36.40596743161842,-0.2530750194946673,0.2530750194946673,0.42841614693516916,0.42337655472104985,4.087692842703701
stellar_to_gas__gas__hi_extent,q_eff,stellar_to_gas,hi_extent,1.0,4.0,4.0,0.1,0.3118931004188506,0.3114274920286826,0.5383771483298667,0.05747126436781609,0.11494252873563218,0.1724137931034483,72,46,0.2702792009494957,-0.8965517241379309,0.10805952438004376,36.5779406887943,-0.25102834436375393,0.25102834436375393,0.42558815611217987,0.42226630485564487,4.091244987433714
sigma_star__gas__low_sigma_baryon,q_eff,sigma_star,low_sigma_baryon,1.0,4.0,1.0,0.0,0.3192345614953097,0.6661905343916673,6.055252300525696,0.16091954022988506,0.26436781609195403,0.3333333333333333,58,45,0.2776206620259548,-0.793103448275862,0.027406291800959496,18.420985650654433,-0.5489347314786939,0.5489347314786939,0.6700389434195544,1.382023531678576,4.099227157287227
mixed_star_org__gas__hi_extent,q_eff,mixed_star_org,hi_extent,1.0,0.5,4.0,0.0,0.2841380490716733,0.3149785289092086,0.7791724135557792,0.08045977011494253,0.13793103448275862,0.1839080459770115,71,39,0.24252414960231838,-0.8735632183908045,0.06098643117017366,27.479215848622882,-0.3752432602656245,0.3752432602656245,0.6275067238418259,0.5813598134678946,4.099676920560064
star_frac__gas__low_v_for_mass_symptom,q_eff,star_frac,low_v_for_mass_symptom,1.0,0.5,4.0,0.05,0.2972138903715798,0.2979991118621826,0.5680493857816982,0.05747126436781609,0.08045977011494253,0.1724137931034483,72,42,0.2555999909022249,-0.8965517241379309,0.08735584311415032,32.887715386396536,-0.2972138903715798,0.2972138903715798,0.46860775125875337,0.46194811534530733,4.102625774135539
mixed_star_org__gas__hi_extent,q_eff,mixed_star_org,hi_extent,1.0,2.0,4.0,0.05,0.2978393097034729,0.31454078405299907,0.5890682804404679,0.05747126436781609,0.13793103448275862,0.1724137931034483,72,43,0.256225410234118,-0.8965517241379309,0.08710460606949316,32.84038849022142,-0.2978393097034729,0.2978393097034729,0.4993913656026725,0.47834981060387627,4.105665792599257
sigma_star__gas__hi_plus_low_sigma,q_eff,sigma_star,hi_plus_low_sigma,1.0,4.0,1.0,0.0,0.33966344911537416,0.6665287560013227,6.055252300525696,0.16091954022988506,0.21839080459770116,0.3333333333333333,58,45,0.29804954964601926,-0.793103448275862,0.028700245964304077,18.850832516625545,-0.5389170608509759,0.5389170608509759,0.6540566133758073,1.3765991959971366,4.114647209593432
mixed_star_org__gas__hi_plus_low_sigma,q_eff,mixed_star_org,hi_plus_low_sigma,1.0,2.0,4.0,0.0,0.3683137451993356,0.3995793751632818,1.0007033462121242,0.022988505747126436,0.10344827586206896,0.21839080459770116,68,52,0.3266998457299807,-0.9310344827586207,0.031999568678072916,19.904890269953338,-0.5152878079482073,0.5152878079482073,0.7139416450186225,0.7254842687490544,4.126027983794652
stellar_to_gas__gas__hi_extent,q_eff,stellar_to_gas,hi_extent,1.0,1.0,4.0,0.05,0.2852037003330069,0.31439106370476205,0.6888921461618573,0.06896551724137931,0.14942528735632185,0.1724137931034483,72,39,0.243589800863652,-0.8850574712643677,0.06683957676929879,28.767662247419615,-0.355343024571409,0.355343024571409,0.5760220094098396,0.5321977064939106,4.131764427234897
