galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,M_star_Msun,M_gas_Msun,M_baryon_Msun,v_flat_obs_km_s,Rdisk_kpc
UGC06930,1.0,7.0,107.2,5.1,8.932,3.237,3.94,16.76,4.38,73.93,189.16,18.0,32.0,"VS01,SV98",4466000000.0,4305210000.000001,8771210000.0,107.2,3.94
UGC06983,1.0,6.0,109.0,5.8,5.298,2.967,3.21,16.07,3.95,53.56,121.57,18.0,49.0,"VS01,SV98",2649000000.0,3946110000.0000005,6595110000.0,109.0,3.21
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",1356000000.0,6156569999.999999,7512569999.999999,65.2,3.38
UGC07151,1.0,6.0,73.5,2.8,2.284,0.616,1.25,6.39,2.17,76.71,965.67,6.87,90.0,"Sw09,Sw02",1142000000.0,819280000.0,1961280000.0,73.5,1.25
UGC07399,1.0,8.0,103.0,3.3,1.156,0.745,1.64,7.85,1.27,113.98,135.78,8.43,55.0,"Sw09,Sw02",578000000.0,990850000.0,1568850000.0,103.0,1.64
UGC07524,1.0,9.0,79.5,3.6,2.436,1.779,3.46,12.11,3.61,29.71,106.86,4.74,46.0,"Sw09,Sw02",1218000000.0,2366070000.0,3584070000.0,79.5,3.46
UGC07603,1.0,7.0,61.6,2.8,0.376,0.258,0.53,4.37,0.85,81.81,520.99,4.7,78.0,"Sw09,Sw02",188000000.0,343140000.0,531140000.0,61.6,0.53
UGC08286,1.0,6.0,82.4,2.3,1.255,0.642,1.05,8.07,2.25,39.52,1488.78,6.5,90.0,"Sw09,Sw02",627500000.0,853860000.0000001,1481360000.0,82.4,1.05
UGC08490,1.0,9.0,78.6,3.8,1.017,0.72,0.67,7.8,1.14,124.98,576.54,4.65,50.0,"Sw09,Sw02",508499999.99999994,957600000.0,1466100000.0,78.6,0.67
UGC08550,1.0,7.0,56.9,1.9,0.289,0.288,0.45,5.59,1.01,45.38,1284.78,6.7,90.0,"Sw09,Sw02",144500000.0,383040000.0,527540000.0,56.9,0.45
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",141463000000.0,44459240000.0,185922240000.0,226.8,6.97
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",870500000.0,1590680000.0,2461180000.0,71.4,1.8
UGC11455,1.0,6.0,269.4,7.4,374.322,13.335,5.93,43.44,10.06,571.26,9568.2,78.6,90.0,SG06,187161000000.0,17735550000.000004,204896550000.0,269.4,5.93
UGC11914,1.0,2.0,288.1,10.5,150.028,0.888,2.44,9.26,3.12,2425.66,3168.33,16.9,31.0,"No07,No05",75014000000.0,1181040000.0,76195040000.0,288.1,2.44
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",650500000.0,2319520000.0000005,2970020000.0000005,71.7,2.42
UGCA442,1.0,9.0,56.4,2.1,0.14,0.263,1.18,4.37,1.71,7.6,116.1,4.35,64.0,Co00,70000000.0,349790000.00000006,419790000.00000006,56.4,1.18
