galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary
ESO079-G014,4.0,175.0,3.5,17.67,157.34,2295.25,30042700000.0,25866500000.0,4176200000.0000005,5.08,0.8609911892073615,0.1390088107926385,185281333.6547091,8.2678316681095,0.7395151354129029,0.7275761776685452,mature,0.7275761776685452,130.22042417164954,149.65771177650524,1.0,0.5,-0.06793894798659812,diagnostic_governor_hypothesis_not_accepted_model
NGC3972,4.0,132.7,2.9,10.05,164.75,1587.93,8791120000.0,7176500000.0,1614620000.0,2.18,0.8163351199847119,0.18366488001528816,294409183.4260632,8.468951352707107,0.8565702562675243,0.8351516055346992,mature,0.8351516055346992,107.53140953223658,110.07163373065706,1.0,0.5,-0.08119551035499444,diagnostic_governor_hypothesis_not_accepted_model
NGC3953,4.0,220.8,6.1,17.38,587.26,1999.08,74417060000.0,70650500000.0,3766560000.0,4.89,0.9493857994389996,0.0506142005610004,495307520.0156474,8.69487492171657,0.9392126224226588,0.9328881456185545,mature,0.9328881456185545,185.5430239167322,189.93152377499064,1.0,0.5,-0.06540201656174731,diagnostic_governor_hypothesis_not_accepted_model
NGC3917,6.0,135.9,4.1,14.08,112.94,1226.96,13494040000.0,10983000000.0,2511040000.0,2.63,0.8139148839043014,0.18608511609569856,310492152.3051887,8.492050627850366,0.8664234144955778,0.8442412307403525,mature,0.8442412307403525,121.07709754443219,122.53833940050562,1.0,0.5,-0.04494746611344589,diagnostic_governor_hypothesis_not_accepted_model
NGC3893,5.0,174.0,8.9,20.84,1573.37,2055.09,36975170000.0,29262500000.0,7712670000.000001,2.38,0.7914094783066582,0.2085905216933418,1038906340.8592535,9.01657639694944,0.9670717469365128,0.9362629106451356,mature,0.9362629106451356,155.77725548258672,162.57638703501456,1.0,0.5,-0.029491780364567947,diagnostic_governor_hypothesis_not_accepted_model
NGC3741,10.0,50.1,2.1,4.2,42.94,143.49,256060000.0,14000000.0,242060000.0,0.2,0.05467468562055768,0.9453253143794423,1018830368.202768,9.008101881468578,0.00847913428395173,0.00015966856084247166,juvenile,0.00015966856084247166,44.937813603565075,46.87494092727479,1.0,0.5,-0.028896992437598554,diagnostic_governor_hypothesis_not_accepted_model
NGC3521,4.0,213.7,15.9,18.85,2232.7,2112.66,47942820000.0,42418000000.0,5524820000.0,2.4,0.8847623064308691,0.1152376935691309,1324711248.049476,9.122121223899192,0.9835536347597388,0.970991406509063,mature,0.970991406509063,166.22923152259304,174.60134796360407,1.0,0.5,-0.08775692992570243,diagnostic_governor_hypothesis_not_accepted_model
NGC3198,5.0,150.1,3.9,35.66,178.99,1602.62,33595270000.0,19139500000.0,14455770000.000002,3.14,0.569708176180754,0.430291823819246,542299209.4006712,8.734238971292958,0.7672280508700658,0.5892351621089128,transition,0.5892351621089128,152.08838113024217,156.04470059288224,0.0,0.5,0.016868332008650535,diagnostic_governor_hypothesis_not_accepted_model
NGC3109,9.0,66.2,2.6,6.0,11.4,140.87,731410000.0,97000000.0,634410000.0,1.56,0.1326205548187747,0.8673794451812253,47833463.56296974,7.679731828746212,0.0047166515732810065,0.0001894390324243749,juvenile,0.0001894390324243749,36.665670307757274,59.11593785206482,1.0,0.5,-0.04915340554555408,diagnostic_governor_hypothesis_not_accepted_model
NGC5033,5.0,194.2,3.6,29.53,2036.24,614.94,70302120000.0,55254500000.0,15047620000.0,5.16,0.7859578061088343,0.21404219389116572,420232028.86844224,8.62348914999931,0.9076090039780254,0.8771288482550982,mature,0.8771288482550982,182.92312352785737,186.48238168643866,1.0,0.5,-0.01761141836988667,diagnostic_governor_hypothesis_not_accepted_model
