galaxy_name,Q,T,Vflat,Inc,Rdisk,RHI,Mbar_msun,logMbar,proxy,proxy_quartile,btfr_residual_dex,btfr_abs_residual
UGC04278,1.0,7.0,91.4,90.0,2.21,8.9,2137780000.0,9.3299630097118,0.6428114975053785,Q2,0.0486389625941874,0.0486389625941874
UGC04325,1.0,9.0,90.9,41.0,1.86,6.61,1914740000.0,9.28210981003762,0.681966264278988,Q3,0.0586873114912169,0.0586873114912169
UGC04499,1.0,8.0,72.8,50.0,1.73,8.67,2239000000.0,9.35005409357903,0.5744232139153396,Q2,-0.0553948457141233,0.0553948457141233
UGC05005,1.0,10.0,98.9,41.0,3.2,21.61,6163690000.0,9.78984078795116,0.4874880566288986,Q1,-0.0365718133272232,0.0365718133272232
UGC05721,1.0,7.0,79.7,61.0,0.38,6.74,1012960000.0,9.005592296177396,0.2268856200100988,Q1,0.0734117550114852,0.0734117550114852
UGC06399,1.0,9.0,85.0,75.0,2.05,8.8,2044420000.0,9.310570120887752,0.6807173498090668,Q3,0.0221493167325612,0.0221493167325612
UGC06446,1.0,7.0,82.2,51.0,1.49,10.33,2328070000.0,9.3669960344644,0.4675075825358288,Q1,-0.0070553573126057,0.0070553573126057
UGC06614,1.0,1.0,199.8,36.0,5.1,60.63,91286040000.0,10.960404367736713,0.4835403440278142,Q1,-0.0352459038445669,0.0352459038445669
UGC06667,1.0,6.0,83.8,89.0,5.15,8.59,1774470000.0,9.24906866136488,0.7582069878024463,Q4,0.0319504326665849,0.0319504326665849
UGC06786,1.0,0.0,219.4,64.0,3.6,20.31,43393400000.0,10.6374236797072,0.7494889379486813,Q3,0.0892948201054517,0.0892948201054517
UGC06917,1.0,9.0,108.7,56.0,2.76,12.67,6106590000.0,9.785798762190888,0.6633375370350792,Q3,0.0055114223181713,0.0055114223181713
UGC06930,1.0,7.0,107.2,32.0,3.94,16.76,8771210000.0,9.943059508996027,0.6500951189765702,Q2,-0.0413744207642374,0.0413744207642374
UGC06983,1.0,6.0,109.0,49.0,3.21,16.07,6595110000.0,9.819222043551012,0.5844212184909071,Q2,-0.0019738748909756,0.0019738748909756
UGC07125,1.0,9.0,65.2,90.0,3.38,23.04,7512569999.999999,9.875788531662655,0.4718025235233476,Q1,-0.2398468595349954,0.2398468595349954
UGC07151,1.0,6.0,73.5,90.0,1.25,6.39,1961280000.0,9.292539599672017,0.7058220615938233,Q3,-0.0362985432964999,0.0362985432964999
UGC07399,1.0,8.0,103.0,55.0,1.64,7.85,1568850000.0,9.19558142205319,0.5890429538657511,Q2,0.1354378352864786,0.1354378352864786
UGC07524,1.0,9.0,79.5,46.0,3.46,12.11,3584070000.0,9.554376483221354,0.614588499931609,Q2,-0.0702352221301576,0.0702352221301576
UGC07603,1.0,7.0,61.6,78.0,0.53,4.37,531140000.0,8.725209009242763,0.5300878899303098,Q1,0.0343683497270344,0.0343683497270344
UGC08286,1.0,6.0,82.4,90.0,1.05,8.07,1481360000.0,9.170660613561282,0.6067683164514719,Q2,0.045001415152212,0.045001415152212
UGC08490,1.0,9.0,78.6,50.0,0.67,7.8,1466100000.0,9.166163593747834,0.4229253056519908,Q1,0.025664924894073,0.025664924894073
UGC08550,1.0,7.0,56.9,90.0,0.45,5.59,527540000.0,8.722255395004163,0.4155055698176395,Q1,0.0006671541892739,0.0006671541892739
UGC09133,1.0,2.0,226.8,53.0,6.97,60.35,185922240000.0,11.269331343142351,0.6245825187722419,Q2,-0.0604472374302349,0.0604472374302349
UGC10310,1.0,9.0,71.4,34.0,1.8,9.58,2461180000.0,9.391143377273732,0.5750962577113155,Q2,-0.0745016354250611,0.0745016354250611
UGC11455,1.0,6.0,269.4,90.0,5.93,43.44,204896550000.0,11.311534645914245,0.800355161375306,Q4,0.0033442966503089,0.0033442966503089
UGC11914,1.0,2.0,288.1,31.0,2.44,9.26,76195040000.0,10.881926701382376,0.883668616733969,Q4,0.1440877445366077,0.1440877445366077
UGC12632,1.0,9.0,71.7,46.0,2.42,12.6,2970020000.0000005,9.472759373849332,0.5140639616812338,Q1,-0.0938817987924787,0.0938817987924787
UGCA442,1.0,9.0,56.4,64.0,1.18,4.37,419790000.00000006,8.623032088852037,0.5745577298130391,Q2,0.0226088894029081,0.0226088894029081
