gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.9866951924392175,4.0,0.048616718190059464,0.06576659161066382,0.47423769569541047,0.8160919540229885,0.8850574712643678,3,0.007002818720704566,-0.13793103448275856,0.5330318890339582,0.16382842774753106,0.16382842774753106
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.874051142158947,1.0,0.048679724996368745,0.0609183728164087,0.21486987436701913,0.8045977011494253,0.9540229885057471,1,0.007065825527013847,-0.14942528735632177,0.5363666974375844,0.16450558105632818,0.16450558105632818
stellar_fraction_source_gate,star_frac,source,0.3153203995338629,4.0,0.04872799725357203,0.05877677860793794,0.2089156594498703,0.8160919540229885,0.9540229885057471,1,0.0071140977842171285,-0.13793103448275856,0.36835237714339203,0.12370599902235835,0.12370599902235835
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.9866951924392175,2.0,0.04882024845644106,0.06232164684487744,0.2784576241522883,0.8160919540229885,0.9195402298850575,2,0.007206348987086164,-0.13793103448275856,0.5165340045905151,0.16041485914184087,0.16041485914184087
stellar_fraction_source_gate,star_frac,source,0.3679365007459096,8.0,0.04919034584752428,0.07198631436445284,0.2867945257414003,0.7586206896551724,0.8620689655172413,7,0.007576446378169385,-0.1954022988505747,0.18249830120948402,0.04745483634027543,0.04745483634027543
sigma_star_source_gate,log10_Sigma_star,source,7.51302457342739,2.0,0.050561832518779125,0.06259273370336259,0.2655546115532814,0.8275862068965517,0.9310344827586207,3,0.008947933049424227,-0.12643678160919536,0.3837748599032139,0.12815926025424165,0.12815926025424165
stellar_fraction_source_gate,star_frac,source,0.3679365007459096,12.0,0.05094372724278859,0.08349169635516687,0.4168282533826114,0.735632183908046,0.8390804597701149,11,0.009329827773433691,-0.2183908045977011,0.09541260936798726,-0.022958426900525755,0.022958426900525755
sigma_star_source_gate,log10_Sigma_star,source,7.656247984899391,8.0,0.050983867099206735,0.12074620272071071,0.9532932705484699,0.7126436781609196,0.8045977011494253,11,0.009369967629851837,-0.2413793103448275,0.04565062557726307,-0.10299818687628928,0.10299818687628928
sigma_star_source_gate,log10_Sigma_star,source,7.51302457342739,1.0,0.05206362773308572,0.062011259063287805,0.21869955168199567,0.8275862068965517,0.9425287356321839,1,0.01044972826373082,-0.12643678160919536,0.4410804764192105,0.14326958854603328,0.14326958854603328
stellar_fraction_source_gate,star_frac,source,0.3679365007459096,4.0,0.05260542342419708,0.0639695157377573,0.2197299753795337,0.7586206896551724,0.896551724137931,1,0.01099152395484218,-0.1954022988505747,0.3208744568597285,0.10872391643680623,0.10872391643680623
sigma_star_source_gate,log10_Sigma_star,source,7.656247984899391,4.0,0.052869570006494865,0.08315306498131585,0.5059817500477385,0.7816091954022989,0.8735632183908046,9,0.011255670537139967,-0.17241379310344818,0.17946059801541026,0.04563240745154491,0.04563240745154491
sigma_star_source_gate,log10_Sigma_star,source,7.656247984899391,1.0,0.05328139780045104,0.06570194165054559,0.22667118584618803,0.7816091954022989,0.9195402298850575,2,0.011667498331096142,-0.17241379310344818,0.40612651978017045,0.13430546718415645,0.13430546718415645
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.0936282777575,4.0,0.05355667489908532,0.07484235126100773,0.5198783505041104,0.7931034482758621,0.8735632183908046,7,0.01194277542973042,-0.16091954022988497,0.4266794244641517,0.1396655549508968,0.1396655549508968
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.9866951924392175,1.0,0.054288379509511306,0.063648714185822,0.2208708332006505,0.8045977011494253,0.9425287356321839,1,0.012674480040156408,-0.14942528735632177,0.508269263509501,0.15866359166603652,0.15866359166603652
