galaxy_name,provisional_curve_class,f_gas,f_star,D_total,btfr_offset_dex,taxonomy_stage
UGC06930,mature_flat,0.4908342178559173,0.5091657821440827,0.8002935311880265,-0.006096595113806,mature_or_control
UGC06983,compact_steep_rise,0.5983387691789827,0.4016612308210174,1.016754442016344,0.0320944838313198,mature_or_control
UGC07125,mature_flat,0.8195025137868931,0.1804974862131068,-0.3329776324924644,-0.2052260404052944,failed_stalled
UGC07151,mature_flat,0.417727198564203,0.5822728014357971,0.2007763591538858,-0.0073740640553597,mature_or_control
UGC07399,slowly_rising,0.6315772699748223,0.3684227300251776,2.8677100847118893,0.1634153659703244,juvenile_forming
UGC07524,irregular_or_unconverged,0.6601628874436046,0.3398371125563953,1.127898509302196,-0.0387534953704185,juvenile_forming
UGC07603,slowly_rising,0.6460443574198893,0.3539556425801107,0.3205210304786123,0.057751956632184,juvenile_forming
UGC08286,mature_flat,0.5764027650267323,0.4235972349732678,0.6784180692811644,0.072735555085245,mature_or_control
UGC08490,compact_steep_rise,0.6531614487415592,0.3468385512584407,0.2785281329642023,0.0533551443808987,juvenile_forming
UGC08550,compact_steep_rise,0.7260871213557266,0.2739128786442734,0.1169759669107838,0.0240219144224796,juvenile_forming
UGC09133,mature_flat,0.2391281430344212,0.7608718569655787,-0.0547048657785216,-0.0122162887862699,true_falsifier_candidate
UGC10310,compact_steep_rise,0.6463078685833624,0.3536921314166375,0.3002970846148483,-0.0446141357638089,disturbed_or_measurement_contaminated
UGC11455,mature_flat,0.086558558453034,0.913441441546966,0.2705005382429512,0.0519874266868556,mature_or_control
UGC11914,compact_steep_rise,0.0155002215367299,0.98449977846327,1.3827043595109625,0.1885350797132683,mature_or_control
UGC12632,compact_steep_rise,0.7809779058726878,0.2190220941273122,0.4608692272712236,-0.0631971910160831,failed_stalled
UGCA442,compact_steep_rise,0.8332499583124896,0.1667500416875104,2.1183521940082737,0.0449945785487826,juvenile_forming
