quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1540050660575947,0.3924347921089499,0.33924590694915446,0.3346980032641211,0.00010113369312034231,0.9817809322069245,0.25104365985245086,-0.032580182764440274
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.15450245311994334,0.393068000630862,0.3399394933943736,0.33489264319580586,0.0030559618811006944,0.9846957491321359,0.2512932465332857,-0.032464268246962164
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13662315197050873,0.3696256917078529,0.3070215156587699,0.28698861569367184,0.06675877484459804,0.9695273103106234,0.21980544007097375,-0.03223868164181473
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1485526736833991,0.3854253153120577,0.3270716396080689,0.32720985277302317,3.720967445147625e-05,0.98171751439677,0.28061819978663927,-0.0313367281010388
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14905980444932287,0.3860826394042121,0.32635980088797545,0.32753096370949364,0.00299289018480256,0.9846443843675682,0.2807480431254503,-0.030438086039063644
two_channel_master,dyn_early_hi,0.4,2.5,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.12276479324387533,0.3503780718650574,0.2773889474005205,0.2501592306064325,0.004055012594514258,0.691418758658726,0.18658866489204473,-0.029799127826410962
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10503895176135009,0.32409713321988837,0.23697841082906124,0.2138096139217098,0.007734882353913756,0.6300910587102866,0.1308770391782181,-0.025299174194633595
bloch_lindblad,gas_hi,0.0,1.2,0.8,0.8,1.0,1.0,0.0,0.2,4.0,1.0,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11953895820183422,0.3457440645937891,0.25732057117634727,0.26700913759315414,0.04424981247042886,0.7055080835184563,0.18862175011060808,-0.0219873559451568
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10347768576128986,0.32167947674865716,0.22204804998197283,0.2191223100775996,0.04322312048338505,0.6070242583354625,0.11823416929948312,-0.0186487417287952
two_channel_master,dyn_early_hi,0.4,2.5,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1266135736010224,0.35582801126530555,0.2581419235456859,0.23517005184852047,0.0011136662186289044,0.6166638328976429,0.1666478941091525,-0.01536448434910484
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.15821399422786547,0.3977612276578318,0.3153263007265269,0.2879987456864559,0.014692561914427214,0.9838042153087,0.2150933241364124,-0.015215471171724337
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.15764274103080478,0.39704249272691805,0.31309952319187556,0.28681908346163115,0.01189261887924662,0.9806799457728902,0.21455896629141283,-0.0145619967247268
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,4.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.17076240223153516,0.413234076803372,0.3349931269034679,0.32899623756034796,0.01054152276859958,0.9940404958225855,0.23688911037665636,-0.013483817565372203
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,4.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.17084110957839163,0.4133292992014861,0.3349931269034679,0.32929111912722625,0.015030451696515214,0.9945228003615015,0.23635555522470653,-0.013405110218515731
bloch_lindblad,dyn_early_hi,0.0,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,1.0,0.6,4.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10674697128866206,0.3267215500830364,0.21034834178761627,0.22161584361786166,0.055679904616281806,0.7884879352763632,0.1576503711756215,-0.008944616694526897
two_channel_master,dyn_early_hi,0.4,2.5,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11005592428331581,0.3317467773518167,0.21128833394363714,0.2035516777656677,0.07518678172519763,0.7004419435634629,0.15519147017081367,-0.006152659385684614
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,4.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.18252026517785208,0.427223905204112,0.3419289913556605,0.3262664837762846,0.01729466941239904,0.994344639174703,0.21991591069164856,-0.005540680067761206
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,4.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.17541869318821957,0.4188301483754716,0.3289881284698589,0.3297625718267079,0.0069975772055881486,0.9949257096817332,0.25832461765337533,-0.005524777470202857
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,4.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.18254699942323335,0.4272551923888501,0.3419289913556605,0.32662207645537233,0.02200403030516763,0.9947792246584665,0.21942107735421784,-0.005513945822379934
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,4.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.17548139161954043,0.4189049911609319,0.3286413352472493,0.3294093576585152,0.0009512381322035269,0.9945101395755982,0.2597794970583001,-0.005271342766446696
