r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
43.78140703517588,4.170416754957297e-12,2.2370740054698136e-11,2.6541156809655432e-11,75.06022437926752,189.35642860563837
44.030150753768844,4.1244697712147395e-12,2.2247165494637035e-11,2.6371635265851773e-11,74.8573452712055,189.28617229994626
44.278894472361806,4.079277947346679e-12,2.2124948670711112e-11,2.620422661805779e-11,74.65610122754937,189.21664184354202
44.527638190954775,4.034824825026231e-12,2.2004067328636034e-11,2.6038892153662265e-11,74.45647041950058,189.14782604051186
44.77638190954774,3.991094391871751e-12,2.18844996978366e-11,2.587559408970835e-11,74.25843142376935,189.079713924098
45.0251256281407,3.948071067025324e-12,2.176622447837564e-11,2.5714295545400964e-11,74.0619632129483,189.01229475086416
45.27386934673367,3.905739687272464e-12,2.1649220828304554e-11,2.555496051557702e-11,73.86704514616372,188.94555799503888
45.52261306532663,3.864085493679906e-12,2.153346835141958e-11,2.5397553845099487e-11,73.6736569599951,188.87949334302945
45.7713567839196,3.82309411872952e-12,2.1418947085408804e-11,2.5242041204138324e-11,73.48177875965379,188.81409068810123
46.02010050251256,3.782751573927409e-12,2.1305637490375383e-11,2.5088389064302793e-11,73.291391010412,188.74934012521615
46.268844221105525,3.7430442378682285e-12,2.1193520437723116e-11,2.4936564675591345e-11,73.10247452927405,188.68523194602517
46.517587939698494,3.703958844735721e-12,2.1082577199391125e-11,2.4786536044126844e-11,72.91501047688163,188.62175663400896
46.766331658291456,3.6654824732213485e-12,2.097278943742491e-11,2.4638271910646256e-11,72.72898034964555,188.55890485976227
47.01507537688442,3.627602535843719e-12,2.0864139193871533e-11,2.4491741729715253e-11,72.54436597209619,188.49666747641655
47.26381909547739,3.5903067686523388e-12,2.0756608880987294e-11,2.4346915649639634e-11,72.36114948944574,188.43503551519606
47.51256281407035,3.5535832212999792e-12,2.0650181271746682e-11,2.420376449304666e-11,72.17931336035555,188.37400018110395
47.76130653266332,3.517420247468615e-12,2.0544839490641776e-11,2.406225973811039e-11,71.99884034990139,188.31355284873212
48.01005025125628,3.4818064956346626e-12,2.0440567004761866e-11,2.392237350039653e-11,71.81971352273082,188.2536850581928
48.25879396984924,3.4467309001597997e-12,2.0337347615143326e-11,2.3784078515303125e-11,71.64191623640608,188.19438851116564
48.50753768844221,3.4121826726943577e-12,2.0235165448380276e-11,2.3647348121074634e-11,71.46543213492694,188.13565506705862
48.756281407035175,3.3781512938807715e-12,2.013400494848684e-11,2.351215624236761e-11,71.29024514242748,188.0774767392772
49.00502512562814,3.3446265053452214e-12,2.003385086900236e-11,2.3378477374347582e-11,71.1163394570415,188.01984569159902
49.253768844221106,3.3115983019660387e-12,1.9934688265330978e-11,2.3246286567297016e-11,70.94369954493126,187.96275423465082
49.50251256281407,3.2790569244080406e-12,1.9836502487307708e-11,2.311555941171575e-11,70.77231013447434,187.90619482248357
49.75125628140703,3.2469928519123544e-12,1.9739279171983016e-11,2.298627202389537e-11,70.60215621060368,187.8501600492434
50.0,3.2153967953318114e-12,1.964300423661863e-11,2.285840103195044e-11,70.43322300929638,187.7946426459347
