galaxy_name,v_flat_obs_km_s,v_m5_bdvr_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,M_star_Msun,M_gas_Msun,star_frac,gas_frac,stellar_to_gas_ratio,T,Rdisk,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,RHI,Reff,SBeff,SBdisk,log10_SBeff,log10_SBdisk,log10_M_baryon_Msun
DDO064,46.1,51.61208276794634,1.119567955920745,0.0490504596709066,0.0490504596709066,359130000.0,78500000.0,280630000.0,0.2185837997382563,0.7814162002617436,0.279727755407476,10.0,0.69,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.113842848849803,3.49,1.2,17.41,151.65,1.2407987711173312,2.1808424146466825,8.555251685522226
UGC04499,72.8,81.40952833469596,1.1182627518502193,0.0485438592494414,0.0485438592494414,2239000000.0,776000000.0,1463000000.0000002,0.3465832961143367,0.6534167038856633,0.530416951469583,8.0,1.73,3.283236994219653,1.2328423078983566,1.0,1.0,1.0,1.109865684678054,8.67,2.69,33.79,127.3,1.5287881917748962,2.1048284036536558,9.35005409357903
F568-V1,112.3,100.64060478195164,0.8961763560280644,-0.0476065183363852,0.0476065183363852,5225530000.0,1912500000.0,3313030000.0000005,0.3659915836288376,0.6340084163711625,0.57726612798556,7.0,2.85,3.294736842105263,1.2332905467822552,1.0,1.0,1.0,1.1102692115140411,14.38,4.4,31.39,90.54,1.4967913157000423,1.9568404901592336,9.718130345386383
NGC4217,181.3,202.29379008895256,1.1157958637007863,0.0475847471305848,0.0475847471305848,46056960000.0,42649500000.0,3407460000.0,0.9260163936134734,0.0739836063865266,12.516507897378103,3.0,2.94,3.738095238095238,1.249324607194157,1.119553952015394,1.2,1.3434647424184727,1.5109999903814382,16.7,5.28,483.98,4373.51,2.684827415220645,3.64083012387382,10.663295268869291
NGC3521,213.7,191.57487958756008,0.8964664463620032,-0.0474659609066342,0.0474659609066342,47942820000.0,42418000000.0,5524820000.0,0.8847623064308691,0.1152376935691309,7.677716197088774,4.0,2.4,4.437500000000001,1.2702603870678983,1.055878615079601,1.1,1.161466476587561,1.3281964900888883,18.85,2.45,2232.7,2112.66,3.348830372378482,3.324829609686001,10.680723575680519
NGC0801,220.1,245.3030507327344,1.1145072727520873,0.0470829068277363,0.0470829068277363,187142330000.0,156285000000.0,30857330000.0,0.8351130393642101,0.1648869606357899,5.064760949829425,5.0,8.72,3.0246559633027523,1.222296074823408,1.0016766843117375,1.0,1.0016766843117375,1.1022164190471202,44.99,7.76,818.14,1558.94,2.912827626440297,3.1928294005189524,11.27217203232174
NGC4100,158.2,176.30260548306896,1.1144286060876674,0.0470522513938085,0.0470522513938085,33822660000.0,29697000000.0,4125660000.0,0.8780208298223735,0.1219791701776264,7.198121027908262,4.0,2.15,5.346511627906977,1.291104622220518,1.0474747420573975,1.1,1.1522222162631377,1.3392466685418367,18.06,4.93,388.0,8970.78,2.5888317255942077,3.952830206139799,10.52920775991146
NGC0100,88.1,98.15709556307011,1.1141554547454044,0.0469457908627941,0.0469457908627941,4262700000.0,1616000000.0,2646700000.0,0.3791024468060149,0.620897553193985,0.6105716552688253,6.0,1.66,5.774096385542169,1.2989281043157102,1.0,1.0,1.0,1.1693593905789126,16.36,2.81,64.99,1193.52,1.8128465369670712,3.076829700943831,9.629684768976201
NGC6195,251.7,279.2021577731948,1.109265624843841,0.0450355547973543,0.0450355547973543,223344310000.0,195538000000.0,27806310000.0,0.8755002533979934,0.1244997466020065,7.032144862083462,3.0,13.94,1.808106169296987,1.1584342487888706,1.0444353412845864,1.2,1.2533224095415036,1.3070647063409546,40.89,9.52,686.8,174.11,2.836830286488879,2.240823715517666,11.348974892706314
NGC5005,262.2,236.746024207361,0.9029215263438636,-0.0443499929387442,0.0443499929387442,91062400000.0,89360000000.0,1702400000.0000002,0.9813051270337704,0.0186948729662297,52.49060150375939,4.0,9.45,1.5,1.1377142691005784,1.3063334635469737,1.1,1.4369668099016712,1.471779794234069,10.41,3.97,1789.91,96.57,3.252831194395521,1.984842231405276,10.959339092194675
NGC3972,132.7,119.9515871542582,0.9039305738828802,-0.0438649241014279,0.0438649241014279,8791120000.0,7176500000.0,1614620000.0,0.8163351199847119,0.1836648800152881,4.444699062318069,4.0,2.18,3.1605504587155964,1.227951765065473,1.0,1.1,1.1,1.2160092734732926,10.05,3.73,164.75,1587.93,2.216825423266048,3.2008313537058184,9.944044208274432
NGC3198,150.1,165.24669602700308,1.100910699713545,0.041752092637036,0.041752092637036,33595270000.0,19139500000.0,14455770000.000002,0.569708176180754,0.430291823819246,1.324004186563566,5.0,3.14,6.608280254777069,1.3113257861349203,1.0,1.0,1.0,1.1805203975727063,35.66,5.84,178.99,1602.62,2.252828768040592,3.2048305582449266,10.526278135797503
