f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.373850411827277,-0.2830956827268371,,,0.373850411827277,-0.2830956827268371,0.5117710280218454,-0.3627661375280108,0.9456743237360776,0.9782608695652174,0.6372597222004579,0.38234328230908216
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,0.75,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3725477480773729,-0.42508613772804,,,0.3725477480773729,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9982304684233887,1.0,0.8367511792644471,0.3853003322092141
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.376694599565563,-0.30257068278934623,,,0.376694599565563,-0.30257068278934623,0.5117710280218454,-0.3627661375280108,0.9855921086819248,0.9782608695652174,0.7630548499503031,0.38577172004924337
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.3751435764099569,-0.4337613650286122,,,0.3751435764099569,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9963849867069412,1.0,0.7815639418793145,0.38815641736081524
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.37747045463709344,-0.40348659220416616,,,0.37747045463709344,-0.40348659220416616,0.5117710280218454,-0.3627661375280108,0.9886856753067628,1.0,0.6910247122543683,0.38957505240321844
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3771999744738323,-0.42508613772804,,,0.3771999744738323,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9987284432279744,1.0,0.8535790890921758,0.3899525586056735
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,0.0,0.5,0.4,0.4,80,1.0,41,46,0.38264343801134715,-0.2799088645347902,,,0.38264343801134715,-0.2799088645347902,0.5117710280218454,-0.3627661375280108,0.9436636894400743,0.9347826086956522,0.6280472358418363,0.3910407039473909
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.38348727437720587,-0.2772531827080844,,,0.38348727437720587,-0.2772531827080844,0.5117710280218454,-0.3627661375280108,0.9929973943699766,0.9782608695652174,0.8064404368011743,0.3918048698584484
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,4.0,1.75,0.4,0.4,80,1.0,41,46,0.37888893574840665,-0.4337613650286122,,,0.37888893574840665,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9917991255627785,1.0,0.6582499524034623,0.391901776699265
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.3829629346754507,-0.3048722737058246,,,0.3829629346754507,-0.3048722737058246,0.5117710280218454,-0.3627661375280108,0.9798787740792108,0.9782608695652174,0.6953675849006379,0.3921091028866254
