object_name,f_star,log10_Sigma_b,hi_compactness_proxy,m50_primary_score,quality_quarantine_flag
NGC4100,0.8780208298223735,9.066150971722134,0.1063829787234042,0.7264537211058258,False
NGC2403,0.5412838794329377,8.883112409462322,0.0842424242424242,0.7012412562010171,False
NGC2998,0.7075245007001539,8.644960269237012,0.1245480112494977,0.736059709473844,False
ESO563-G021,0.8280175220606345,9.00296509376827,0.0891105297580117,0.7198898216374187,False
NGC3893,0.7914094783066582,9.01657639694944,0.1024978466838931,0.7233068451794076,False
NGC6674,0.7150059174672374,8.816145608463174,0.1077417053157331,0.7183812542357964,False
NGC5907,0.7582617791542307,8.809979941575211,1.0,0.9999836009768113,False
UGC03205,0.8153228640373326,9.037418016803407,0.1003460207612456,0.7234106036037856,False
NGC6503,0.7346700190573804,8.474524425074039,0.1332510795805058,0.7545549035427161,False
NGC5033,0.7859578061088343,8.62348914999931,0.1487460363217065,0.7895177761226058,False
NGC4183,0.5374936272438549,8.314157556671503,0.147932131495228,0.7758803818301044,False
UGC07151,0.5822728014357971,8.300539705297789,0.1636125654450261,0.7831811277232487,False
UGC08286,0.4235972349732678,8.33010214706329,0.1151315789473684,0.6347930959621445,False
UGC11455,0.913441441546966,8.967245390827602,0.120113429208021,0.731055988099674,False
NGC3521,0.8847623064308691,9.122121223899192,0.1129411764705882,0.7228613434859056,False
NGC3992,0.8371238370913012,8.94293281504035,0.1315300981172102,0.7652554298983351,False
NGC0891,0.9209839202625252,9.26440549866864,0.1231289232254949,0.7474234948093506,False
NGC4217,0.9260163936134734,8.928420739686862,0.1496945010183299,0.7942370588858467,False
NGC7331,0.894889484820931,8.946648083561472,0.156728067436778,0.7834847102495281,False
F571-8,0.6819590824550527,7.971196478641222,0.1266453219494841,0.7164028549155708,False
IC4202,0.8457337330268883,8.869367172445768,0.1295041994039555,0.7511597084987518,False
UGC02885,0.7910323852314484,8.494656615411506,0.1331153666510976,0.7548837073662241,False
ESO116-G012,0.5983732945942856,8.398523751963339,0.1361587015329125,0.7591247257503829,False
F579-V1,0.6648821248393632,8.096430722519624,0.1385121249486231,0.7438233840945897,False
NGC2903,0.9234267464940172,9.113763500466842,0.1448104412678682,0.7906816614952615,False
NGC3917,0.8139148839043014,8.492050627850366,0.1573907839616995,0.7927674600223369,False
F574-1,0.4108519726174104,7.803813527033311,0.2159806295399515,0.7195954367135851,False
UGC06786,0.8458313937142514,8.726638809814512,0.1505646173149309,0.7945350046957196,False
NGC5985,0.8713455360448207,8.58874440120979,0.1507202752096323,0.7905133134685572,False
NGC6195,0.8755002533979934,8.262269476824219,0.254240379354368,0.811755534355668,False
UGC06930,0.5091657821440827,7.953887196986764,0.1903381642512077,0.7702703078347699,False
ESO079-G014,0.8609911892073615,8.2678316681095,0.2232967032967032,0.8050076809980405,False
NGC0024,0.6838210987557938,8.401475985917836,0.1552723059096176,0.7884333994763559,False
NGC3953,0.9493857994389996,8.69487492171657,0.2195779074988774,0.8166328560738122,False
NGC3972,0.8163351199847119,8.468951352707107,0.178250204415372,0.8004627258121417,False
NGC5005,0.9813051270337704,8.210295606818034,0.4758308157099697,0.8618128026600336,False
