object_name,O_comp,O_radial,O_rot,O_shape,O_SF,O_disorder,m47_primary_score,quality_quarantine_flag,quality_measurement_limited_flag
NGC2403,0.977173206364622,0.3358117602369097,0.75,8.04130170318572e-05,0.5,0.8320539133730293,0.5126130759237126,False,False
NGC2998,0.9997226109642958,0.5209196669489282,1.0,0.2907692159971696,0.5,0.5941555585269511,0.6622822987820787,False,False
ESO563-G021,0.9999888377225268,0.5220858347573619,1.0,0.000339676970095,0.5,0.7387872441362715,0.6044828698899967,False,False
NGC3893,0.999970371520492,0.4934082281628091,1.0,0.0087489905642478,0.5,0.7489213906364716,0.6004255180495097,False,False
NGC6674,0.9997727690944496,0.4172424109237649,1.0,0.0247271104022709,0.5,0.7790152393369821,0.5883484580840971,False,False
NGC5907,0.999928289828136,0.9860610180665108,0.84,0.9999995986455908,0.5,0.006969691643949227,0.8651977813080475,False,False
UGC03205,0.9999843407823984,0.520907124184442,1.0,0.0055139158037383,0.5,0.7367894800059098,0.6052810761541157,False,False
NGC6503,0.9998654839672168,0.6545695977478375,1.0,0.567998096925073,0.5,0.38871615266354476,0.7444866357280254,False,False
NGC5033,0.99996573551711,0.8682998488385557,1.0,0.881940479122293,0.5,0.12487983601957564,0.8500412126955919,False,False
NGC4183,0.9748065628223472,0.5616573053340995,1.0,0.8731098008460318,0.5,0.28261644690993437,0.7819147338004957,False,False
UGC07151,0.9922306326571512,0.64327191451578,0.84,0.9667028897564748,0.5,0.1950125978638726,0.7884410873858811,False,False
UGC08286,0.6498587519951898,0.2480910996055374,0.84,0.0869907282752989,0.5,0.8324590860595819,0.46498811597520523,False,False
UGC11455,0.999998855945144,0.6708687440357629,0.84,0.1750302743458249,0.5,0.5770504908092061,0.6371795748653464,False,False
NGC3521,0.9999975419841358,0.6176493048283201,0.75,0.0614978392289104,0.5,0.6604264279713847,0.5858289372082732,False,False
NGC3992,0.9999912442786972,0.7561515192236645,1.0,0.5138668223426057,0.5,0.3649908292168649,0.7540019171689936,False,False
NGC0891,0.9999990643873417,0.7009480023163888,0.84,0.2502484846410074,0.5,0.5244017565213019,0.6582391102689475,False,False
NGC4217,0.9999991818854262,0.947114499743496,0.84,0.8914456669270204,0.5,0.08071991666474176,0.8357118697111886,False,False
NGC7331,0.9999981237089988,0.9530670447998766,0.36,0.941132933842926,0.5,0.05290001067859873,0.7508396204703602,False,False
F571-8,0.999451660617626,0.2087576683763755,1.0,0.3552195843733518,0.5,0.7180113736251363,0.6126857826734706,False,False
IC4202,0.9999930404701546,0.7342764404844867,0.84,0.4479843969490011,0.5,0.4088695812832561,0.7044507755807284,False,False
UGC02885,0.9999700720878938,0.7155372560785911,1.0,0.5638213877158447,0.5,0.3603206781027821,0.7558657431764659,False,False
ESO116-G012,0.9949288989826236,0.5520547788171177,1.0,0.6524483454479428,0.5,0.3977484378674697,0.7398864046495368,False,False
F579-V1,0.9991356621514854,0.394000378865682,0.75,0.712410780091881,0.5,0.44679442052121854,0.6711093642218098,False,True
NGC2903,0.9999991233922836,0.9277026282286142,0.75,0.832703619804244,0.5,0.11979687598357092,0.8020810742850284,False,False
NGC3917,0.9999837416720702,0.8975071819634368,1.0,0.9443547230331264,0.5,0.07906904750171839,0.8683691293337267,False,False
F574-1,0.5691894098036173,0.5887678842740292,1.0,0.9987226050607914,0.5,0.20625475533258975,0.7313359798276876,False,False
UGC06786,0.9999930585710478,0.917161960806896,1.0,0.8994730777489053,0.5,0.09168248072209928,0.8633256194253699,False,False
NGC5985,0.999996484668076,0.923408465288399,1.0,0.90084298069118,0.5,0.08787427701021056,0.8648495861295309,False,False
NGC6195,0.9999968533391044,0.8190930459891534,1.0,0.9997281554666284,0.5,0.09058939927210907,0.8637636109589772,False,False
UGC06930,0.9478586120752616,0.5201080111567553,0.75,0.9949107162830956,0.5,0.2424906362800745,0.7425754679030224,False,False
ESO079-G014,0.9999953667954816,0.8187123325256654,1.0,0.9990878210660158,0.5,0.09109992320415938,0.8635591040774326,False,False
