object_name,phase_fraction_descriptor,texture_descriptor,defect_inverse_descriptor,porosity_inverse_descriptor,concentration_descriptor,m52_primary_score,quality_quarantine_flag
NGC3521,0.9999975419841358,0.4057489196144552,0.6176493048283201,0.8847623064308691,0.5155259981642726,0.6847368142044106,False
NGC3992,0.9999912442786972,0.7569334111713029,0.7561515192236645,0.8371238370913012,0.48555390976332374,0.767150784305658,False
NGC0891,0.9999990643873417,0.5451242423205037,0.7009480023163888,0.9209839202625251,0.551799413313727,0.7437709285200972,False
NGC4217,0.9999991818854262,0.8657228334635102,0.947114499743496,0.9260163936134734,0.49145599970531595,0.8460617816822443,False
NGC7331,0.9999981237089988,0.650566466921463,0.9530670447998766,0.8948894848209311,0.4989670418068309,0.7994976324116201,False
F571-8,0.999451660617626,0.6776097921866759,0.2087576683763755,0.6819590824550528,0.27016955222273753,0.5675895511716935,False
IC4202,0.9999930404701546,0.6439921984745005,0.7342764404844867,0.8457337330268884,0.468420113391251,0.7384831051694561,False
UGC02885,0.9999700720878938,0.7819106938579223,0.7155372560785911,0.7910323852314484,0.38811329573653097,0.7353127405984774,False
ESO116-G012,0.9949288989826236,0.8262241727239714,0.5520547788171177,0.5983732945942857,0.3685688359725803,0.6680299962181157,False
F579-V1,0.9991356621514854,0.7312053900459405,0.394000378865682,0.6648821248393633,0.3035462277216208,0.6185539567248185,False
NGC2903,0.9999991233922836,0.791351809902122,0.9277026282286142,0.9234267464940173,0.529629156302668,0.8344218928639411,False
NGC3917,0.9999837416720702,0.9721773615165632,0.8975071819634368,0.8139148839043016,0.3996799398933023,0.8166526217899349,False
F574-1,0.5691894098036173,0.9993613025303957,0.5887678842740292,0.41085197261741047,0.2781576520754417,0.5692656442601789,False
UGC06786,0.9999930585710478,0.9497365388744526,0.917161960806896,0.8458313937142515,0.4476734651401253,0.8320792834213547,False
NGC5985,0.999996484668076,0.95042149034559,0.923408465288399,0.8713455360448207,0.41753372801994687,0.8325411408733666,False
NGC6195,0.9999968533391044,0.9998640777333142,0.8190930459891534,0.8755002533979935,0.3977515203528952,0.8184411501624922,False
UGC06930,0.9478586120752616,0.8724553581415477,0.5201080111567553,0.5091657821440827,0.2982228945441714,0.6295621316123639,False
ESO079-G014,0.9999953667954816,0.999543910533008,0.8187123325256654,0.8609911892073615,0.38349855613007033,0.8125482710383174,False
NGC0024,0.9994782089602784,0.9666607867015367,0.7616120532748315,0.6838210987557938,0.37877257755078536,0.7580689450486452,False
NGC3953,0.999999561298768,0.9994602707072252,0.9821101983745448,0.9493857994389996,0.4752195133748864,0.8812350686388848,False
NGC3972,0.9999847578189606,0.9944176582597231,0.9219886014879995,0.8163351199847119,0.40504777792520186,0.8275547830953194,False
NGC5005,0.9999998127140116,0.9999976792046921,0.7710958627488217,0.9813051270337703,0.49715741631967725,0.8499111796041945,False
NGC7814,0.9999996966085262,0.9118367086189082,0.9797954746100248,0.9632156039661287,0.5143045934198275,0.873830415444683,False
UGC02487,0.9999987836353528,0.9839468752557898,0.965523155714894,0.9111431474496305,0.47865398106496243,0.8678531886241257,False
UGC03546,0.9999993456085832,0.990622719988823,0.9738712677424438,0.9343900268783742,0.4693244146326761,0.8736415549701801,False
UGC04325,0.968646896116833,0.9994607841957877,0.625561621997227,0.5290535529628043,0.3108845779565749,0.6867214866458453,False
UGC06399,0.9865678923643948,0.9972270228783255,0.5362005494341647,0.5615284530575909,0.283279025613723,0.6729605886696398,False
UGC06917,0.9857929773752222,0.9946520027219474,0.5364202245492465,0.5593956692687735,0.3257796301747866,0.6804081008179953,False
UGC06983,0.5083637910539813,0.9867462686282684,0.3818246339417546,0.40166123082101735,0.2981657753679707,0.5153523399625984,False
UGC11914,0.9999998280083188,0.8740788579196598,0.9856667118773416,0.9844997784632701,0.6042735042735042,0.8897037361084188,False
xGASS_xCOLD:GASS101026,0.0177957222509151,0.7369237441626288,0.6046410375745178,0.25,0.3403192084103328,0.3899359424796789,False
