galaxy_name,taxonomy_stage,target_activation,A_flip_m39,D_unsettled_m39,target_contamination_score,high_inverse_rank_residual,inverse_rank_residual_abs,contamination_flags
F574-1,mature_or_control,0.7162899142484588,0.012058975521604842,0.9879410244783952,0.03353783231083845,False,0.7042309387268539,none_available
UGC09133,mature_or_control,0.4767803589538333,0.0007640654638981781,0.9992359345361018,0.03208310749774164,False,0.4760162934899351,hi_extended
NGC4217,mature_or_control,0.6483048725098944,0.0002025566410801538,0.9997974433589198,0.03177054605626034,False,0.6481023158688143,none_available
NGC3109,juvenile_forming,1.0,0.1800232505211632,0.8199767494788368,0.03141993957703927,False,0.8199767494788368,none_available
UGC12632,juvenile_forming,0.5876019195241267,0.06569275758600202,0.934307242413998,0.03124128312412831,False,0.5219091619381246,none_available
NGC6674,mature_or_control,0.7936659624078981,0.0007330205694522363,0.9992669794305478,0.030496993382972484,False,0.7929329418384459,hi_extended
UGC07151,mature_or_control,0.8056697407264045,0.002379440807468769,0.9976205591925312,0.03047619047619047,False,0.8032902999189357,none_available
UGC03546,mature_or_control,0.5752299067797505,0.0002929510343103736,0.9997070489656896,0.03006602336211275,False,0.5749369557454401,none_available
UGCA442,juvenile_forming,1.0,0.13940771369716265,0.8605922863028374,0.029787234042553196,False,0.8605922863028374,none_available
UGC06667,juvenile_forming,1.0,0.20953725923661903,0.790462740763381,0.029594272076372316,False,0.790462740763381,none_available
NGC6195,mature_or_control,0.6335265955764974,0.0016479720973503476,0.9983520279026497,0.02955899880810489,False,0.631878623479147,none_available
UGC04499,juvenile_forming,0.7308090958470224,0.03244156395902997,0.96755843604097,0.026373626373626374,False,0.6983675318879924,none_available
NGC5585,juvenile_forming,0.9035639477886522,0.02336513550686481,0.9766348644931352,0.026360497687447068,False,0.8801988122817874,hi_extended
NGC0891,mature_or_control,0.7463354013850007,0.00016134445207538484,0.9998386555479246,0.026073890990917427,False,0.7461740569329253,hi_extended
UGC00731,juvenile_forming,0.695472852986707,0.21374929838011725,0.7862507016198828,0.025102319236016368,False,0.4817235546065898,none_available
