bootstrap_id,coef_f_star,coef_rhi_extent_organization_score,coef_fstar_x_rhi_extent_organization,organization_auc_like,spearman_vs_organization_score,organization_score_rmse,clean_spearman_vs_A_inferred,clean_spearman_vs_signed_residual,clean_spearman_vs_abs_residual
49,-0.09309827451508144,0.024730372818881168,0.1950623595431596,0.9681603773584906,0.9279478330579641,0.05613692142155646,0.159061056188251,-0.1933785562417738,-0.1631264554014377
50,-0.08586256077490537,0.008152152320004345,0.18750456183914305,0.9492753623188406,0.9213320557695691,0.06233077998891689,0.1265956956860597,-0.1544598562316493,-0.18056089905841857
51,-0.11806310281672015,0.014048176786001251,0.22133353997759825,0.9584257206208425,0.9150521026804043,0.059889424955686034,0.14776968491562825,-0.17798926799635517,-0.17851574364685632
52,-0.06910608454392929,0.01966379400725791,0.1716060628403282,0.9585666293393057,0.9127978023482027,0.0681834064504218,0.12759889880479933,-0.15842867267388885,-0.17513415004556043
53,-0.07506459320416602,0.01911240078061981,0.17015385242921988,0.9587513935340022,0.9039162958979122,0.06710748514993353,0.12834596495705225,-0.15721372886504,-0.17835375113900984
54,-0.07912464456369354,0.02247564711136557,0.1718888275168818,0.9356984478935698,0.9104153629536922,0.05531600747868523,0.1345359416471479,-0.16470588235294117,-0.1779082717424319
55,-0.019777737366325078,0.033773024870218486,0.1317711750100293,0.9622641509433962,0.9257557389229987,0.062270434759886854,0.1210247166649736,-0.15591778880226792,-0.15919813708615976
56,-0.053917395232212784,0.034369696684776074,0.15988746652954036,0.9505555555555556,0.9259212196861334,0.0660850911134731,0.1340450124613817,-0.1641591576389592,-0.18015591778880227
57,-0.09333306140165859,0.02133252039162734,0.20603761631379713,0.9866220735785953,0.9178186653109908,0.05983116344394711,0.13511224982174302,-0.16500961830515343,-0.1785764908372988
58,-0.053195013739700425,0.020795015748153702,0.17079831729516862,0.9737762237762237,0.9307331378299121,0.06994865931944351,0.11752417812298847,-0.15239445175660626,-0.15919813708615976
59,-0.0744053443038685,0.025744326187215224,0.17787450411178335,0.9569160997732427,0.9156587631385966,0.058672603824505135,0.13238012217921802,-0.16347068948061153,-0.1752758934899261
60,-0.04417190405377335,0.03354175776463476,0.13981134324328642,0.9630541871921182,0.9349137298988222,0.05434007266477181,0.13455728639435513,-0.1648678748607877,-0.1790624683608383
