model_family,feature_template,uses_angular_momentum,uses_m59_backbone,endpoint_delta,endpoint_stretch,ridge_alpha,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,pairwise_rank_loss,objective,n_features
censored_latent_corrected,physical_state,True,False,0.35,0.0,1.0,0.006945438243071838,0.08333929591178364,0.9602430549937611,0.9319042004761663,0.9614317626759952,0.9666164768137168,-0.8168384369113801,1.412512904096326,0.3978277044140114,0.3216274119124985,0.5140875957683679,-0.7088673008329132,12
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.0,1.0,0.005508329666833195,0.07421812222653706,0.9697342379283403,0.9430608391918401,0.9709579465235764,0.9741527599917306,-0.7740830066435879,1.3781873745290862,0.40267698708105903,0.3279720908108422,0.5099503368012696,-0.7087574699085141,13
rank_weighted_corrected,full_corrected_state,True,False,0.6,0.0,0.01,0.007421588175559285,0.08614864000992288,0.9824195689659032,0.950265729346997,0.9796169361668505,0.9743563930690634,-1.0789325402653382,1.6979217265151239,0.51390358293274,0.35762612509867064,0.47466524221531453,-0.7086680363446354,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.5,1.0,0.0055366025200968795,0.07440834980092544,0.9701996709376323,0.9429554457506544,0.9710444332228209,0.9733028540705833,-0.6430855256395609,1.284791231659307,0.3641393551441798,0.3088365528196801,0.5244670308357903,-0.7085273595709881,13
rank_weighted_corrected,full_corrected_state,True,False,0.6,0.0,0.1,0.007262818057473918,0.08522216881465713,0.9806308460282325,0.9505613086031074,0.9763618435195839,0.9746414035538032,-1.0757852920691362,1.67657094410938,0.5086431162598792,0.35727027264192174,0.47537231542320385,-0.7080528808466443,13
censored_latent_corrected,physical_state,True,False,0.15,0.5,1.0,0.007131934575401143,0.0844507819703355,0.9601974243065754,0.9317555333074675,0.9608772046608808,0.9655918375359636,-0.6849745209602778,1.3184211574586127,0.35904076387741374,0.30398800420393296,0.5285391517293956,-0.7077170286902535,12
rank_weighted_corrected,full_corrected_state,True,False,0.15,0.0,1.0,0.005852025393291015,0.07649853196820848,0.971404321079329,0.9445142303963531,0.9716332265834922,0.9732805263816673,-0.5616903866608174,1.225974532860638,0.3385009979021516,0.2960768889180919,0.5340873090088185,-0.7071725216789565,13
censored_latent_corrected,physical_state,True,False,0.15,0.0,1.0,0.007562879335431151,0.08696481665266219,0.961301686936464,0.9330669626355963,0.961845275759765,0.965483236526099,-0.6029806607420547,1.2591237846618208,0.3333268085826734,0.2902990220408196,0.538119417018312,-0.7061416172433321,12
rank_weighted_corrected,physical_state,True,False,0.35,1.0,0.01,0.0070368468592980375,0.08388591573856745,0.9748174964808027,0.9450071205121529,0.9734808242804822,0.9721205979376609,-0.9992522083099825,1.6426035021517895,0.4793822960230847,0.3471351081868879,0.4875539387213507,-0.7060823381084743,12
censored_latent_corrected,full_corrected_state,True,False,0.6,0.0,1.0,0.008438937065405544,0.09186368741459024,0.9691501651323662,0.9410805629594473,0.966321126242651,0.9676902989703979,-1.0395737816220505,1.5684534266146453,0.4832596432840669,0.3544577933418724,0.4821242172053808,-0.7059139529479209,13
censored_latent_corrected,full_corrected_state,True,False,0.6,1.0,0.01,0.010289821429560374,0.10143875703871955,0.9799646379953246,0.9490137720240769,0.9698959635361013,0.9680524742160019,-1.249268536082819,1.827366063899858,0.5667604878820914,0.3706133110523811,0.45835749341715726,-0.7055311852573064,13
rank_weighted_corrected,full_corrected_state,True,False,0.15,1.0,1.0,0.005814511301226899,0.07625294290207361,0.9684292002748358,0.9412593627093248,0.969651145208249,0.9720281448200381,-0.7244806646183042,1.3436079304579756,0.3899194854352414,0.32138832711119353,0.515139197996712,-0.7054577013916353,13
rank_weighted_corrected,physical_state,True,False,0.35,1.0,0.1,0.006999832103990678,0.08366499927682232,0.9737771168129739,0.9442515694025689,0.9735859092071858,0.9717352492644132,-1.0002530254261042,1.6260928845213523,0.474303483698836,0.3461103312121384,0.4885907623389213,-0.7053878271440377,12
censored_latent_corrected,physical_state,True,False,0.15,1.0,1.0,0.007302661058325595,0.0854556087002228,0.9585364672930241,0.9303109350195028,0.959130073093986,0.9645194030752573,-0.7669683811784999,1.3777185302554038,0.38488229098874555,0.31628692120099916,0.5192511107750581,-0.7053003884988476,12
censored_latent_corrected,full_corrected_state,True,False,0.6,1.0,0.1,0.010233827644735813,0.10116238255762768,0.9789972674269924,0.9490285816039058,0.9687518048181525,0.9680198399364438,-1.245244541208871,1.8040887460790893,0.5613231140162261,0.37074075187637173,0.459075455414449,-0.7049852947553159,13
censored_latent_corrected,physical_state,True,False,0.6,0.5,0.01,0.009801885350846891,0.09900447136794828,0.9739961441114641,0.944189764850465,0.9668224734236278,0.9666418310933708,-1.1886535487134222,1.7940377953533646,0.5392469608902363,0.36274036448925395,0.4687006905338137,-0.7048922511267961,12
censored_latent_corrected,physical_state,True,False,0.6,0.5,0.1,0.009754481082791325,0.09876477652883808,0.973430323590364,0.9437053838994928,0.9666286224434992,0.9663026431625338,-1.1896287233034026,1.7745343926643986,0.533236659212534,0.3623730989309929,0.4697559396269399,-0.7046509985229712,12
censored_latent_corrected,physical_state,True,False,0.35,0.5,1.0,0.007751767084249894,0.08804412010037861,0.9589836480274417,0.9307965235865666,0.9597593515765089,0.9643513123372318,-0.8988322971296029,1.4718102768931176,0.4235719455273718,0.3325247157928373,0.5051836775795521,-0.7030919807229468,12
rank_weighted_corrected,full_corrected_state,True,False,0.35,0.5,1.0,0.006419111771374537,0.08011935952923324,0.9695699674544727,0.9416644248979752,0.9699507773444536,0.9717430312411832,-0.855478145622332,1.437004073327755,0.42838729500373657,0.3383955416226717,0.5010070704814654,-0.7029849006926245,13
