object_name,taxonomy_stage,radial_footprint_score,HI_extent_footprint_score,surface_density_footprint_score,concentration_footprint_score,composition_footprint_score,F_occ,F_crit,A_footprint_candidate,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,radial_scale_outside_footprint,measurement_limited,quality_quarantined,quality_used_as_footprint_component,dominant_failure_mode,claim_boundary,abs_log10_error_no_governor,A_inferred,organization_label_settled,organization_label_score
NGC5033,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7056202306329178,0.7859578061088343,0.7859578061088343,0.7677563037057924,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0043111761455451,1.0,1,0.7917010105796597
NGC5055,true_falsifier_candidate,1.0,0.7983935854298821,0.9612869554811653,0.9199701283766392,1.0,0.9359301338575374,0.9882550689333227,0.3720927412541767,0.7502035274667405,0.830635017923709,0.830635017923709,0.5047513162093171,1.0,False,True,False,True,False,False,False,False,HI_overextended,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0943074189278329,0.4049988834479593,0,0.4531865217387902
NGC5371,true_falsifier_candidate,0.8502779984114377,1.0,1.0,1.0,1.0,0.9700555996822875,0.9882550689333227,0.4546264964802826,0.8115709054139054,0.919653485596212,0.919653485596212,0.8525157224612471,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.1070838237324706,0.1229344705079685,1,0.8024853474823893
NGC5585,juvenile_forming,0.9761715647339158,1.0,1.0,1.0,0.6593493462952688,0.9271041822058368,0.9882550689333227,0.3517150817753943,0.5651564619690329,0.3966424880522063,0.3966424880522063,0.6966759262735087,1.0,True,False,False,False,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0157163873677569,0.9035639477886522,0,0.510926035600268
NGC5985,mature_or_control,0.9356632247815729,1.0,1.0,1.0,1.0,0.9871326449563146,0.9882550689333227,0.4971939695168933,0.7704024366339302,0.8713455360448207,0.8713455360448207,0.7721818224853364,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0750502755722731,1.0,1,0.8040413217746091
NGC6195,mature_or_control,0.0,0.89384514877138,1.0,0.7101088479995314,1.0,0.7207907993541822,0.9882550689333227,0.06448631787214128,0.7220582512290259,0.8755002533979934,0.8755002533979934,0.9079475214681574,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0450355547973543,0.6335265955764974,1,0.8031363424658143
NGC6503,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7550358274502713,0.7346700190573803,0.7346700190573804,0.7284686768772601,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0047904128483258,1.0,1,0.7037388631066879
NGC6674,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7496514163958563,0.7150059174672374,0.7150059174672374,0.6391737491389038,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0322623904351289,0.7936659624078981,0,0.5736237150700809
NGC6946,true_falsifier_candidate,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7658296604452973,0.8143848024495663,0.8143848024495663,0.6176866362580686,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0338262899432106,0.7301681133883909,0,0.4556508466350362
NGC7331,disturbed_or_measurement_contaminated,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.8123951852583691,0.894889484820931,0.8948894848209311,0.7849632103367004,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0340777514417192,0.6529781202223786,1,0.7090330170586335
