galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",158.2,59.394,3.102,2.15,4.0,29697000000.0,4125660000.0,33822660000.0,0.8780208298223735,0.12197917017762648,5.346511627906977,1.291104622220518,1.0474747420573975,1.1,1.1522222162631375,1.3392466685418367,176.30260548306896,158.2,1.1144286060876674,0.04705225139380857,0.04705225139380857,2.5888317255942073,3.952830206139799,7.198121027908262,10.52920775991146
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",184.7,105.62,8.226,2.32,3.0,52810000000.0,10940580000.000002,63750580000.0,0.828384620186985,0.17161537981301506,6.148706896551724,1.3049233583441573,1.0,1.2,1.2,1.4097079381027504,211.93960028992663,184.7,1.1474802397938637,0.05974521549698781,0.05974521549698781,2.9288309529910093,4.376829978482175,4.826983578567132,10.804484140316246
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",110.6,10.838,3.506,2.79,6.0,5419000000.0,4662980000.0,10081980000.0,0.5374936272438549,0.46250637275614515,3.6810035842293907,1.247390352375863,1.0,1.0,1.0,1.122962554603194,119.28768175360766,110.6,1.0785504679349698,0.03284047158308503,0.03284047158308503,1.9368152311976328,3.040831688287468,1.1621323702868123,10.003545831576814
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",181.3,85.299,2.562,2.94,3.0,42649500000.0,3407460000.0,46056960000.0,0.9260163936134734,0.0739836063865266,3.738095238095238,1.249324607194157,1.1195539520153939,1.2,1.3434647424184727,1.5109999903814382,202.29379008895256,181.3,1.1157958637007863,0.04758474713058482,0.04758474713058482,2.684827415220645,3.6408301238738203,12.516507897378105,10.663295268869291
NGC4559,1.0,6.0,121.2,5.1,19.377,5.811,2.1,21.16,3.82,211.27,1602.62,9.0,67.0,Ba05,121.2,19.377,5.811,2.1,6.0,9688500000.0,7728630000.000001,17417130000.0,0.5562627137766096,0.4437372862233905,5.947619047619048,1.301798339438632,1.0,1.0,1.0,1.1719433183444345,139.70886203436353,121.2,1.1527133831218113,0.06172133539310012,0.06172133539310012,2.324837832312843,3.2048305582449266,1.253585693712857,10.240976593389751
NGC5005,1.0,4.0,262.2,20.7,178.72,1.28,9.45,10.41,3.97,1789.91,96.57,16.9,68.0,Ri15,262.2,178.72,1.28,9.45,4.0,89360000000.0,1702400000.0000002,91062400000.0,0.9813051270337703,0.018694872966229754,1.5,1.1377142691005784,1.3063334635469737,1.1,1.4369668099016712,1.471779794234069,236.746024207361,262.2,0.9029215263438635,-0.04434999293874428,0.04434999293874428,3.252831194395521,1.9848422314052758,52.49060150375939,10.959339092194675
NGC5033,1.0,5.0,194.2,3.6,110.509,11.314,5.16,29.53,2.94,2036.24,614.94,15.7,66.0,"Sa96,Be87",194.2,110.509,11.314,5.16,5.0,55254500000.0,15047620000.0,70302120000.0,0.7859578061088343,0.21404219389116572,3.1463178294573644,1.2273713669624309,1.0,1.0,1.0,1.1049404727764318,192.28174262335858,194.2,0.9901222586166766,-0.0043111761455451834,0.0043111761455451834,3.3088289644961932,2.788832743515087,3.6719760334192384,10.846968421611848
NGC5055,1.0,4.0,179.0,4.9,152.922,11.722,3.2,35.06,4.18,1383.02,3348.34,9.9,55.0,"Ba06,Bl04",179.0,152.922,11.722,3.2,4.0,76461000000.0,15590260000.0,92051260000.0,0.830635017923709,0.16936498207629097,6.1312500000000005,1.3046602942826642,1.0,1.1,1.1,1.2919717709722296,222.41314432767118,179.0,1.2425315325568222,0.09430741892783294,0.09430741892783294,3.1408284605336303,3.5248295510615684,4.904408265160427,10.96402973751469
NGC5371,1.0,4.0,209.5,3.9,340.393,11.18,7.44,30.03,9.8,560.83,1395.82,39.7,53.0,"Sa96,Be87",209.5,340.393,11.18,7.44,4.0,170196500000.0,14869400000.0,185065900000.0,0.919653485596212,0.08034651440378805,2.676747311827957,1.206593385898856,1.1079061527859402,1.1,1.2186967680645342,1.3237912124150844,268.0821211003315,209.5,1.2796282630087423,0.10708382373247062,0.10708382373247062,2.7488312369236176,3.144829416820822,11.446090629077165,11.267326403592811
NGC5585,1.0,7.0,90.3,2.4,2.943,1.683,1.53,10.92,2.27,90.54,297.05,7.06,51.0,"Bl99,Sa96,Co91",90.3,2.943,1.683,1.53,7.0,1471500000.0,2238390000.0000005,3709890000.0000005,0.39664248805220637,0.6033575119477936,4.310457516339869,1.2668110952661427,1.0,1.0,1.0,1.140446068891101,93.62765316919871,90.3,1.0368510871450578,0.01571638736775696,0.01571638736775696,1.9568404901592336,2.4728295567127057,0.6573921434602548,9.56936103276835
NGC5907,1.0,5.0,215.0,2.9,175.425,21.025,5.34,0.0,7.88,449.6,8646.29,17.3,88.0,"Sa96,SA87",215.0,175.425,21.025,5.34,5.0,87712500000.0,27963250000.0,115675750000.0,0.7582617791542307,0.24173822084576932,1.5,1.1377142691005784,1.0,1.0,1.0,1.0242267142793506,209.66943928085624,215.0,0.9752066943295639,-0.010903326154634546,0.010903326154634546,2.652826302561005,3.936829797851299,3.136706212618347,11.063242323990439
NGC5985,1.0,3.0,293.6,8.6,208.728,11.586,7.01,39.5,10.71,288.95,1461.61,39.7,60.0,"Bl04,Br92",293.6,208.728,11.586,7.01,3.0,104364000000.0,15409380000.0,119773380000.0,0.8713455360448207,0.12865446395517935,3.5813124108416545,1.2439233070527012,1.0395386639968425,1.2,1.2474463967962108,1.396942055477627,247.00501769654477,293.6,0.8412977441980407,-0.07505027557227313,0.07505027557227313,2.460822698802402,3.164831505697767,6.772757891621857,11.078360305501223
NGC6195,1.0,3.0,251.7,9.3,391.076,20.907,13.94,40.89,9.52,686.8,174.11,127.8,62.0,SG06,251.7,391.076,20.907,13.94,3.0,195538000000.0,27806310000.0,223344310000.0,0.8755002533979934,0.12449974660200656,1.808106169296987,1.1584342487888706,1.0444353412845864,1.2,1.2533224095415036,1.3070647063409546,279.20215777319476,251.7,1.109265624843841,0.045035554797354375,0.045035554797354375,2.836830286488879,2.240823715517666,7.032144862083462,11.348974892706314
NGC6503,1.0,6.0,116.3,2.4,12.845,1.744,2.16,14.05,1.62,774.16,398.87,6.26,74.0,"Be91,Be87",116.3,12.845,1.744,2.16,6.0,6422500000.0,2319520000.0000005,8742020000.0,0.7346700190573804,0.2653299809426197,3.627314814814815,1.2455374936398735,1.0,1.0,1.0,1.1212945194323893,115.02422131435557,116.3,0.9890302778534443,-0.004790412848325803,0.004790412848325803,2.8888307280420182,2.6008313731751938,2.76889183969097,9.941611795734016
NGC6674,1.0,3.0,241.3,4.9,214.654,32.165,6.04,50.02,7.75,560.83,1370.35,51.2,54.0,"Sa96,Br92",241.3,214.654,32.165,6.04,3.0,107327000000.0,42779450000.00001,150106450000.0,0.7150059174672374,0.28499408253276265,4.782284768211921,1.2789177091641695,1.0,1.2,1.2,1.3816140505574597,259.9080388998896,241.3,1.077115784914586,0.03226239043512893,0.03226239043512893,2.7488312369236176,3.1368315041312402,2.5088447841194776,11.176399354063552
NGC6946,1.0,6.0,158.9,10.9,66.173,5.67,2.44,21.25,4.2,571.26,2232.7,5.52,38.0,Bo08,158.9,66.173,5.67,2.44,6.0,33086500000.0,7541100000.0,40627600000.0,0.8143848024495663,0.1856151975504337,5.215163934426229,1.2884687499691123,1.0,1.0,1.0,1.159943361944264,171.77113572436693,158.9,1.081001483476192,0.0338262899432106,0.0338262899432106,2.7568338155405883,3.348830372378482,4.387489888743022,10.608821167944376
NGC7331,1.0,3.0,239.0,5.4,250.631,11.067,5.02,27.01,3.99,2470.76,1806.47,14.7,75.0,"Be91,Be87",239.0,250.631,11.067,5.02,3.0,125315500000.0,14719110000.0,140034610000.0,0.894889484820931,0.10511051517906894,3.0876494023904386,1.2249496211358972,1.0693459708003397,1.2,1.2832151649604076,1.4150787367867366,258.50899090409604,239.0,1.081627577004586,0.034077751441719206,0.034077751441719206,3.392830561776918,3.256830753646836,8.513796010764239,11.146235386209625
