galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
NGC0024,106.3,m4a_halo_only,86.67043277566295,0.8153380317560014,-0.0886622993703862,0.0886622993703862,106.3,7.9,0.03227588341519934,0.04406509559993646,0.17892484589855417
NGC0100,88.1,m4a_halo_only,98.15709556307011,1.1141554547454044,0.0469457908627941,0.0469457908627941,88.1,6.4,0.031549201863573344,0.04353564215936753,1.6338389428406739
NGC0801,220.1,m4a_halo_only,245.09766108848004,1.1135741076259884,0.046719124344534,0.046719124344534,220.1,6.2,0.01223364737755639,0.03239848959686844,1.4710005827926933
NGC0891,216.1,m4a_halo_only,198.539103020333,0.918737172699366,-0.0368087114340316,0.0368087114340316,216.1,5.7,0.011455245473616545,0.032112655587179524,1.862636999874527
NGC1003,109.8,m4a_halo_only,127.09452762483886,1.1575093590604633,0.0635245111991767,0.0635245111991767,109.8,4.2,0.016612357231271926,0.034292425005814225,0.7381333105538392
NGC1090,164.4,m4a_halo_only,178.81274990740445,1.0876687950572046,0.0364966689125534,0.0364966689125534,164.4,3.7,0.009774267536752018,0.03155212046566767,1.8681863636238938
NGC2403,131.2,m4a_halo_only,119.5330568306604,0.9110751282824728,-0.0404458091376348,0.0404458091376348,131.2,4.9,0.016219839644252547,0.034104005601765706,1.7561575084117487
NGC2841,284.8,m4a_halo_only,221.14064181197529,0.7764769726544075,-0.1098714192624191,0.1098714192624191,284.8,8.6,0.013114229439494259,0.032741151687008474,-3.130375729196565
NGC2903,184.6,m4a_halo_only,173.29054721278158,0.938735358682457,-0.0274568235622133,0.0274568235622133,184.6,5.6,0.013174697175829957,0.032765418441930844,2.148336373274137
NGC2998,209.9,m4a_halo_only,216.2335797073396,1.0301742720692688,0.0129106994584879,0.0129106994584879,209.9,8.1,0.016759339225423248,0.03436386839796722,2.3812337035319766
NGC3109,66.2,m4a_halo_only,60.60114657567701,0.9154251748591692,-0.0383771483298666,0.0383771483298666,66.2,2.6,0.017056882975052184,0.03450995880647534,1.829229966478278
NGC3198,150.1,m4a_halo_only,165.24669602700308,1.100910699713545,0.041752092637036,0.041752092637036,150.1,3.9,0.011284133773635456,0.0320520151475894,1.6730270720577551
