galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note,gas_mass_msun,baryon_mass_msun,f_star,f_gas,specific_sfr_yr,molecular_to_atomic_ratio,depletion_time_hi_yr,depletion_time_h2_yr,stellar_surface_density_msun_kpc2,sigma_b_msun_kpc2,log10_sigma_b,external_maturity_index,external_maturity_class,m9_threshold_proxy_activation,m9_threshold_proxy_class,btfr_offset_dex
GASS24741,24741,J121750.81+082549.0,55298739483.92018,12387977616.977499,2861837775.1645164,4.373080253601074,2.6397409585458718,224.54729115580528,64.69445530271685,True,True,1,1.0,xGASS_angular_momentum_linear_mass,20282254471.54888,75580993955.46906,0.7316487464626515,0.2683512535373485,7.908101150972315e-11,0.2310173511487799,3767598414.6443853,870380605.9434885,1263027310.3794665,1726275506.499402,9.237110108530992,0.5645017793594306,transition,1.0,mature,-0.22578868650580475
GASS112113,112113,J121814.63+102114.2,1622643578.0713925,4265796312.0955586,226022445.9196752,0.1730632930994033,5.10641075366363,120.1361840738099,37.41932421560649,True,False,0,,xGASS_angular_momentum_linear_mass,5974118948.160261,7596762526.231653,0.21359672261287588,0.7864032773871242,1.0665514931202527e-10,0.05298481910137017,32782856453.72742,1736993718.8269331,9904026.071685815,46367874.70581157,7.666217190252257,0.08718861209964414,gas-rich,0.0,juvenile,-0.13703678645868678
GASS112100,112100,J121830.09+041824.4,1450255123.6181757,893305923.1371884,225674540.9797499,0.1837532222270965,4.16271251565463,53.67978078551497,49.79933295121826,True,False,1,,xGASS_angular_momentum_linear_mass,1488244017.2755282,2938499140.893704,0.4935360039537397,0.5064639960462604,1.2670406691524655e-10,0.25262850624252736,6465719966.010274,1633425176.7956605,13320229.347180089,26989377.148720898,7.431192862178051,0.24510676156583627,gas-rich,1.0,mature,0.8499126292748809
GASS18335,18335,J121853.94+100010.1,76993669032.53589,3622430111.4398203,92245081.80420151,0.0706492066383361,2.1310804591057027,265.17988408022734,65.34238510656459,True,True,1,2.0,xGASS_angular_momentum_linear_mass,4940518007.014549,81934187039.55045,0.9397013849099434,0.06029861509005651,9.175976093369606e-13,0.02546497212268825,68193717629.1047,1736551118.3676255,2698208175.2168365,2871346385.719566,9.458085586900012,0.7161921708185053,stellar-dominated,1.0,mature,-0.47966716110136964
GASS28057,28057,J122532.62+080301.4,17208652522.042965,2360479021.0594153,1011140067.6899384,0.8506096005439758,4.950382476410892,153.98076324280734,42.23414015763306,True,False,1,,xGASS_angular_momentum_linear_mass,4484253388.036641,21692905910.079605,0.7932847998039289,0.20671520019607117,4.942918101544616e-11,0.4283622343892406,3690808446.0853863,1581002952.667817,111760796.34277533,140883572.16777447,8.148860354835177,0.5435943060498221,transition,1.0,mature,-0.11251814370405278
GASS112112,112112,J122540.14+203142.4,7187617391.042161,4830588190.118778,1071892833.1976464,0.4940305948257446,3.742543757113676,139.5732942845317,84.80513772156038,True,True,1,1.0,xGASS_angular_momentum_linear_mass,7850299761.010845,15037917152.053005,0.4779662847165569,0.5220337152834432,6.873356885154304e-11,0.22189695975124923,13004624329.236332,2885686601.364671,81671646.11445762,170873236.7239887,8.232674046025078,0.3474199288256228,transition,1.0,mature,-0.10099163277504175
GASS6375,6375,J122727.61+031807.6,83368330363.38306,27989784185.687763,8711731555.78859,8.816408157348633,2.8092118060832973,241.5264892310202,77.17389978386514,True,True,1,1.0,xGASS_angular_momentum_linear_mass,48813015936.16354,132181346299.5466,0.6307117660494658,0.36928823395053423,1.0575248561318155e-10,0.31124682841403356,4222401266.20452,1314209002.3975563,1681327303.516961,2665761753.658322,9.425821332739115,0.5391459074733096,transition,1.0,mature,-0.10965890782801324
GASS112044,112044,J123106.49+043517.7,2179377297.0375133,2041739917.404129,220112514.00317025,0.1923043727874755,2.093030950846076,103.42654496729996,82.3249780786363,True,False,0,,xGASS_angular_momentum_linear_mass,3008263733.771708,5187641030.809221,0.42010950335504454,0.5798904966449555,8.823821971940336e-11,0.10780634307381402,14120917017.04845,1522324424.4567838,79177403.0209805,188468488.3075968,8.275238747124574,0.24332740213523132,gas-rich,1.0,mature,-0.04252815587743264
GASS18469,18469,J123251.49+084423.9,10884521767.331469,2546831057.923309,1090695481.8561218,1.0035029649734497,3.2405761957392154,161.5573841074801,40.535862101061895,True,True,1,1.0,xGASS_angular_momentum_linear_mass,4837910297.906643,15722432065.238111,0.6922924978888516,0.3077075021111484,9.219541165192378e-11,0.42825592159437426,3375461184.7386227,1445561240.476277,164962416.12737352,238284275.2599905,8.377095383541823,0.4706405693950178,transition,1.0,mature,-0.33575752778081736
GASS50404,50404,J123409.10+280750.5,37044333267.47246,937562270.4532977,81892969.17097092,0.0669306442141532,1.7461548038033363,75.10783896415964,58.44170662894041,True,False,1,,xGASS_angular_momentum_linear_mass,1355875468.7002773,38400208736.17274,0.9646909349369486,0.035309065063051384,1.8067714630168021e-12,0.08734669872261056,18630596408.322086,1627321091.5002596,1933643591.6913574,2004417706.918474,9.301988230621536,0.7571174377224199,stellar-dominated,1.0,mature,1.3826225149884426
GASS30439,30439,J123410.30+155805.5,90694403836.39526,25703948796.691975,13545199089.982176,7.1020827293396,7.276135643664065,242.21543213378837,73.30050256042337,True,True,0,1.0,xGASS_angular_momentum_linear_mass,52201366689.27662,142895770525.67188,0.6346892109035628,0.36531078909643727,7.83078385095417e-11,0.5269695795427901,4813553038.233786,2536596020.664978,272645948.5917475,429573945.65381145,8.633037932836013,0.5071174377224199,transition,1.0,mature,-0.08075786832201182
GASS18581,18581,J123443.54+090016.8,34902764951.343445,7112139009.712344,5035324103.813073,5.088535785675049,2.9245207443513497,223.50782704794068,44.44298742232336,True,False,1,,xGASS_angular_momentum_linear_mass,16156125940.988806,51058890892.33225,0.6835785960361499,0.31642140396385,1.4579176729318648e-10,0.7079901133733226,1858912913.5234253,1316091964.3965836,649487132.980868,950127954.1914167,8.977782095875474,0.5395907473309608,transition,1.0,mature,-0.38806957294825395
GASS24426,24426,J123622.72+133610.3,11860575142.171942,9120109194.638906,1644294393.9429193,1.2563786506652832,3.885406464930343,176.9335536739809,42.48481527793697,True,True,0,1.0,xGASS_angular_momentum_linear_mass,14316656772.813828,26177231914.98577,0.4530874456356127,0.5469125543643872,1.0592898199329747e-10,0.18029327926352992,9654529884.320107,1740646852.5918198,125041151.38426498,275975758.29727805,8.440870935325718,0.30471530249110323,gas-rich,1.0,mature,-0.2722870849777088
GASS18576,18576,J123625.93+085639.7,15903554167.73477,574116230.2364259,314124338.7765547,0.2713782787322998,2.674591761818447,182.40564554952,57.88828567672631,True,False,1,,xGASS_angular_momentum_linear_mass,1181359956.7872643,17084914124.522034,0.9308536204409916,0.0691463795590084,1.7064001912407338e-11,0.5471441534533794,2813690873.7919736,1539494511.220409,353833801.91924727,380117554.62864137,8.579917926699407,0.7468861209964414,stellar-dominated,1.0,mature,-0.5105103074913924
GASS50406,50406,J123653.92+274456.8,20873451151.652325,1064144065.0973258,2134383832.125956,1.9881744384765625,4.049272207938731,155.70547661157707,44.94777690219621,True,False,1,,xGASS_angular_momentum_linear_mass,4254042103.306965,25127493254.95929,0.8307016915637868,0.1692983084362132,9.524895639115145e-11,2.0057282675637973,711864904.4014091,1427807561.4445066,202609799.18070015,243901994.22766244,8.387215351271209,0.597864768683274,transition,1.0,mature,-0.06803639216974311
GASS28143,28143,J123711.40+083929.8,14774391559.566547,3944570456.8158097,360598484.4553735,0.304826021194458,1.7483419558088422,192.87991830498316,59.97689183260427,True,True,1,2.0,xGASS_angular_momentum_linear_mass,5725874691.890674,20500266251.457222,0.7206926670289631,0.27930733297103694,2.063205242432339e-11,0.0914164136255436,17210731180.387856,1573343320.3843763,769266777.852875,1067399202.2482448,9.028326873885112,0.5413701067615658,transition,1.0,mature,-0.5283585564435143
GASS112038,112038,J123741.16+270746.4,1640444080.5206428,1122018947.0737863,585742681.4680347,0.8877377510070801,1.9694897025523423,75.23568346741298,39.14974558450668,True,True,0,1.0,xGASS_angular_momentum_linear_mass,2271322965.960622,3911767046.4812646,0.4193613937200745,0.5806386062799255,5.411569717910351e-10,0.5220434850905553,1680997792.3268852,877553945.9358568,67309154.22974426,160503935.83600447,8.205485686528434,0.28291814946619215,gas-rich,1.0,mature,0.38770749700982066
GASS112109,112109,J123835.92+012408.2,7797359192.776274,6918312139.914402,523500861.91499805,0.4061157703399658,5.239745096155177,143.5,90.0,True,False,0,,xGASS_angular_momentum_linear_mass,9897611292.433104,17694970485.209377,0.4406539812707696,0.5593460187292304,5.208375814162885e-11,0.07566886999716597,22656975715.037014,1714427749.9100826,45200928.1607846,102576919.94619672,8.011049654464058,0.23887900355871886,gas-rich,1.0,mature,-0.07852776603481004
GASS12983,12983,J124032.46+052119.9,116561831943.9083,4365161773.191,571443548.4699081,0.4613105356693268,4.695115004112592,227.5439783221071,64.27988795100443,True,True,1,2.0,xGASS_angular_momentum_linear_mass,6565685077.809008,123127517021.7173,0.9466757290602154,0.053324270939784715,3.957646581012195e-12,0.13091005056891034,12585156222.19737,1647523437.4654944,841557949.9519005,888961155.460627,8.948882784212422,0.7375444839857652,stellar-dominated,1.0,mature,-0.03687627037098373
GASS112053,112053,J124114.11+264410.0,3365484102.943713,2511884225.153631,374692826.6338405,0.3288961052894592,1.7576015547583417,111.29127130660716,52.25265077536866,True,False,0,,xGASS_angular_momentum_linear_mass,3839147478.8773375,7204631581.821051,0.46712785584145716,0.5328721441585429,9.77262394440613e-11,0.14916803206203647,10157633263.896845,1515194164.3833728,173391106.85243428,371185543.0674276,8.569591052977028,0.31983985765124556,gas-rich,1.0,mature,-0.02720264078923229
GASS50550,50550,J124128.01+284728.3,19163095012.804096,2517677060.445444,2079239286.2034817,1.6236228942871094,2.782903286150348,177.95874923783364,53.201530088349536,True,True,1,1.0,xGASS_angular_momentum_linear_mass,6113898741.043072,25276993753.847168,0.7581239762694274,0.24187602373057254,8.472654825341431e-11,0.8258562302806258,2062369594.6728349,1703220778.9018898,393812554.70395046,519456668.07930446,8.715549325523728,0.5898576512455517,transition,1.0,mature,-0.29752196200857206
GASS6506,6506,J124309.36+033452.2,55218703688.841866,8609945840.798836,8929568221.176958,7.03461217880249,5.320728614769098,199.536090301786,61.89015843222977,True,True,1,1.0,xGASS_angular_momentum_linear_mass,23327553702.427803,78546257391.26967,0.7030087177009068,0.29699128229909316,1.2739546039404735e-10,1.0371224611963956,1627840693.587718,1688270146.5693417,310430312.6048898,441573916.20990044,8.645003411685193,0.5231316725978647,transition,1.0,mature,-0.003930341635502543
GASS112081,112081,J124343.11+252817.2,11337666544.398443,7413100459.583174,461821627.8616957,0.3725349903106689,3.4714770926075524,157.09154227053344,79.57828390581275,True,False,0,,xGASS_angular_momentum_linear_mass,10473646376.301676,21811312920.70012,0.5198066978186527,0.48019330218134726,3.285817137519588e-11,0.062298039852499605,26465765277.574413,1648765299.989231,149732199.32138753,288053616.75740707,8.45947333253225,0.3358540925266904,transition,1.0,mature,-0.1448994097322025
GASS112054,112054,J124408.63+252458.1,4947515770.734248,326587786.274129,14681924.732190805,0.0122766075655817,0.5989900326880951,154.33551758863356,65.55435729880111,True,False,1,,xGASS_angular_momentum_linear_mass,453888715.6384053,5401404486.372654,0.9159683899282985,0.08403161007170137,2.4813680510531775e-12,0.04495552298415469,35381252795.141396,1590582723.2401664,2194664443.1193256,2396004564.4054623,9.379487641052089,0.6988434163701067,stellar-dominated,1.0,mature,-0.7203268345421829
GASS40393,40393,J124723.17+081732.6,19097145028.508514,2506110221.596569,4619576987.292642,4.521640300750732,4.29779981277925,101.25200338727264,44.525022613319486,True,False,1,,xGASS_angular_momentum_linear_mass,9477163987.82265,28574309016.331165,0.6683326976548711,0.33166730234512887,2.3677048553596665e-10,1.8433255438979237,737149877.7047865,1358807199.2544637,164549365.74451178,246208761.47748432,8.391303503484092,0.45418149466192176,transition,1.0,mature,0.7353912328042522
GASS26822,26822,J125129.06+134654.5,58604505683.341156,7396060156.533399,5324552008.317691,2.79248046875,6.360305710023893,217.23714274135432,70.28250400348128,True,True,1,1.0,xGASS_angular_momentum_linear_mass,16918414179.25195,75522919862.59311,0.7759830497810012,0.2240169502189987,4.7649586600707174e-11,0.7199173472939081,3522588651.2977676,2535972677.4499145,230565942.78864524,297127550.4712581,8.472942922631365,0.6089857651245552,transition,1.0,mature,-0.1686275600773115
GASS112116,112116,J125606.10+274041.1,1270980392.3444092,273527045.61565316,742587383.3267703,1.2538671493530271,1.5296113694211502,69.64781352337233,52.15630708871063,True,True,1,1.0,xGASS_angular_momentum_linear_mass,1351432190.4934232,2622412582.8378325,0.48466072831645096,0.515339271683549,9.865353996847933e-10,2.7148590796765957,290135179.67715186,787676126.8801161,86456326.04857227,178385251.7799257,8.251358945693902,0.36476868327402134,transition,1.0,mature,0.3481010676233751
GASS40495,40495,J125626.93+093604.5,84085256288.4934,1241651914.9671855,427005295.1453707,0.3617939054965973,3.072453615121198,163.7743089588192,56.774134683288295,True,False,2,,xGASS_angular_momentum_linear_mass,2219314089.4497,86304570377.9431,0.974285091974493,0.025714908025506966,4.302703249845559e-12,0.34390096773350176,4564468947.147283,1569725288.1134682,1417650951.6534786,1455067888.5791605,9.162883256516084,0.8580960854092528,stellar-dominated,1.0,mature,0.38008068819638297
GASS40502,40502,J125752.83+101754.6,16732265438.015991,5011870135.142811,931206371.5427988,0.8035534620285034,2.826344785096416,162.6809816970699,87.2971195509219,True,False,1,,xGASS_angular_momentum_linear_mass,7904291753.891862,24636557191.907852,0.6791641099719845,0.3208358900280155,4.8024188057811724e-11,0.18580017966013487,8295387419.416646,1541284472.8780355,333368527.49025416,490851213.4188091,8.69094986893851,0.4862099644128114,transition,1.0,mature,-0.15273712454746935
GASS28526,28526,J125828.59+112535.3,17332086096.848167,5081598264.219068,1953958716.6155288,1.7355797290802002,3.967854380205936,178.81807031674518,51.52858538535618,True,False,1,,xGASS_angular_momentum_linear_mass,9357290784.510014,26689376881.35818,0.6494001779769601,0.3505998220230399,1.0013680519368148e-10,0.3845165664460117,3894102689.821778,1497346995.6784484,175210253.88337693,269803211.98740596,8.431047115610545,0.44483985765124556,transition,1.0,mature,-0.2822771857650892
GASS13227,13227,J125950.03+050251.2,154623005704.2205,4395412602.456258,2912780678.0102363,1.2686800956726074,6.033568421116711,269.6575567233303,32.402580880044155,True,True,2,1.0,xGASS_angular_momentum_linear_mass,9719897063.020437,164342902767.24094,0.9408559974336905,0.05914400256630942,8.20498922456258e-12,0.6626865192092564,4607858814.217104,3053565918.601224,675998541.3219529,718493099.0139072,8.856422601176476,0.8309608540925266,stellar-dominated,1.0,mature,-0.20646943156601338
GASS25167,25167,J130256.89+125250.0,29192462426.01776,5105052152.124883,300565846.7014283,0.2398443967103958,3.403707031187318,208.6184817535928,80.08083013195818,True,False,1,,xGASS_angular_momentum_linear_mass,7189471938.438994,36381934364.45676,0.8023889585853705,0.19761104141462946,8.215970040836112e-12,0.05887615596176101,28308851302.973972,1666716344.4121969,401038916.2095255,499806125.09494895,8.69880157407662,0.536032028469751,transition,1.0,mature,-0.415495340098726
GASS113049,113049,J130305.93+263152.0,6357688248.628814,3162277660.1683793,424770269.1862464,0.3937251567840576,1.393601574515728,156.34015098771872,58.28888653134507,True,False,0,,xGASS_angular_momentum_linear_mass,4770773746.041653,11128461994.670467,0.5712998122897464,0.4287001877102536,6.192898131942436e-11,0.13432415329513758,10682145185.685131,1434870107.4428856,521005254.4712593,911964686.953233,8.959978021926803,0.4363879003558718,transition,1.0,mature,-0.428816965565618
GASS40425,40425,J130404.23+084820.6,15110216758.610065,3899416304.642466,798990113.6195908,0.6794862151145935,2.7177021830561614,153.09935024935814,75.92032992569166,True,False,1,,xGASS_angular_momentum_linear_mass,6248880536.288535,21359097294.8986,0.7074370489533275,0.2925629510466725,4.4968661003979996e-11,0.2048999263475279,7632566444.780396,1563912302.3781161,325602026.7790916,460255830.9051367,8.662999299215997,0.5097864768683273,transition,1.0,mature,-0.10928050055225036
GASS13159,13159,J130525.44+035929.7,27701643923.359325,2275099269.2726436,1392636997.794777,1.213529109954834,1.5238345655235894,135.5452209771834,78.8790929765689,True,True,1,1.0,xGASS_angular_momentum_linear_mass,4878089235.19967,32579733158.558994,0.8502722778158129,0.14972772218418712,4.3807115321828586e-11,0.612121421075401,2493456484.3238378,1526298126.5739806,1898672381.4014962,2233016918.1557026,9.348892013458286,0.7606761565836299,stellar-dominated,1.0,mature,0.2856406788819026
