galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note
GASS9287,9287,J140836.94+032522.6,71601493007.12585,7345141649.3646965,9274080858.42089,8.899406433105469,1.5215760177777553,197.80494208061924,54.73206900569168,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38538,38538,J141119.35+113105.1,17800050712.027615,895364073.4664512,1270458680.286294,1.184669852256775,3.687561370137713,109.56198831145196,45.39181590547984,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38546,38546,J141229.86+111425.9,87192051212.41518,2844464205.5640025,1210498785.907077,1.006244421005249,5.235998875316676,268.7828135119494,70.58586072071762,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114082,114082,J141341.90+123015.0,9854201360.63934,7244353873.869617,2216142248.3752723,2.031527519226074,3.254223372469778,167.67098972551085,47.69254806032986,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114046,114046,J141440.92+132241.4,2355861442.4614005,2238723104.9868765,597516663.5016916,0.8426342606544495,0.6044420540655393,129.1646292148753,62.43242111998897,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS9384,9384,J141509.84+042840.4,56301388764.18012,7691298728.009484,959320981.9865528,0.7993143796920776,3.950091339405992,226.94964676768987,58.25617174237091,True,True,1,2.0,xGASS_angular_momentum_linear_mass
GASS38462,38462,J141545.94+102619.8,45167597600.930534,642687141.5116057,1955384233.3917077,0.7071170210838318,3.588330274672365,192.1081946236507,50.859880152894384,True,True,2,1.0,xGASS_angular_momentum_linear_mass
GASS114095,114095,J141614.32+253244.2,5191232937.275555,4466831997.992275,644023783.9368043,0.5536032319068909,2.595933275980128,135.67316945044163,74.91827775657421,True,False,0,,xGASS_angular_momentum_linear_mass
GASS9343,9343,J141648.38+033748.2,55728951693.02531,9225717512.971565,489914811.3936101,0.418995201587677,1.534119260289332,180.6571630871849,71.67929154694292,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114054,114054,J141718.76+123507.9,1509887834.254866,776247730.275455,157113073.6408488,0.1336283832788467,2.7820554604352203,71.644985802618,55.437206973617165,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114127,114127,J141733.87+250652.0,3284338657.985972,599790907.6678877,136169229.3227618,0.0857746452093124,1.94361169122615,142.77369211979905,75.94585373822153,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS45254,45254,J141830.77+291012.3,123298158055.8452,4385308980.741833,443973282.79162246,0.3715278804302215,3.231302770490301,232.50860105324105,54.8028997584355,True,False,1,,xGASS_angular_momentum_linear_mass
GASS30854,30854,J141833.16+071712.4,18321145043.338562,1815514929.2167351,370002663.1427872,0.2897194623947143,5.3956864694737625,156.5,90.0,True,False,1,,xGASS_angular_momentum_linear_mass
GASS7405,7405,J141837.70+020245.4,31093670986.16923,3715349680.21985,1239116757.77887,1.1052162647247314,2.713666436843278,185.4016318546652,80.76782563931374,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114091,114091,J141842.39+245519.8,1241951257.1430013,93325384.99404743,68231429.01055865,0.058419793844223,1.4470910933119856,33.92676183718557,47.46643252911995,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38583,38583,J142030.48+102555.5,46697659329.02386,9332548746.14691,3070728214.0569687,2.531258106231689,8.045178470396696,200.59468902850224,34.459084280573755,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114121,114121,J142049.04+255731.7,6017180570.968135,4786304286.52868,570929206.1762567,0.2339593768119812,2.891193792869519,138.37567443049917,73.97712933607323,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS114085,114085,J142118.67+123021.4,2912047858.089661,514044175.3444151,242962827.4743877,0.2318072468042373,2.1707033816921903,103.99853854274028,50.28583207527004,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114042,114042,J142152.81+240626.5,2878599793.8558307,2511884225.153631,514225672.0649026,0.480794608592987,1.5349047411523995,116.92051419996088,50.71718275630972,True,False,0,,xGASS_angular_momentum_linear_mass
GASS9514,9514,J142209.71+043116.1,24769664400.297344,3531834427.894172,466112135.1376367,0.2126926034688949,1.4562468843995904,244.55299091514044,48.97626289769343,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS114125,114125,J142456.60+250129.2,6390095525.44949,5754402406.055371,385158136.9254105,0.3090588450431824,4.032410197911095,138.94736236040544,77.21036998364157,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114117,114117,J142617.37+154109.7,1744041075.7200212,2630268453.963273,157113234.13599136,0.1907026469707489,3.948177356028108,97.57996931078172,39.44789963515803,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS114056,114056,J142619.79+252402.9,3632552417.008056,1621810239.813303,589660451.606909,0.5616139769554138,0.1639547176985359,42.16432774491434,44.39841306004376,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114076,114076,J142621.41+100948.0,961821190.3190973,523600271.01706547,151995579.32974163,0.1442566215991974,0.743575851191819,99.43295268624152,64.17174299832799,True,False,1,,xGASS_angular_momentum_linear_mass
GASS7499,7499,J142632.10+024506.0,48256263473.96988,13182563911.826834,1864750371.2674804,1.6324009895324707,3.1978806308081102,211.11699695322824,66.76895452741545,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114067,114067,J142725.95+253052.0,16921341647.501238,1148154730.847072,503599918.59310657,0.4063721299171448,5.496187159191668,108.63966796468934,75.12714649323996,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114136,114136,J142728.93+295707.0,2484536286.148955,2290865841.769215,222776265.4886795,0.460151195526123,2.99465027095927,131.69238853259736,35.78150984132837,True,True,0,1.0,xGASS_angular_momentum_linear_mass
GASS114012,114012,J142742.56+135424.7,2511429463.0318685,1412536303.897626,406307475.9642843,0.3801062703132629,1.8708968571211249,122.16365542702064,78.01334712786793,True,False,0,,xGASS_angular_momentum_linear_mass
GASS28703,28703,J142802.34+120134.9,13714799311.161959,1122018947.0737863,339664128.9196686,0.2700231075286865,4.9389480453160175,138.62456581475166,87.57087707068209,True,False,1,,xGASS_angular_momentum_linear_mass
GASS114129,114129,J142808.58+264057.8,1763361548.5204315,977236705.9324806,107406355.82935388,0.0817874073982238,3.5977101910088067,75.13512260929252,82.54493697727904,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114142,114142,J142810.03+265608.8,1617043159.2464616,4073799557.57968,316378582.8435421,0.2633310556411743,2.479238646834602,126.6542457520545,55.19838798243733,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114074,114074,J142830.84+271557.3,1171869997.626868,954991579.4217654,448922499.2149489,0.4081917405128479,1.7208759035234795,112.6287500975986,69.50549457073843,True,False,0,,xGASS_angular_momentum_linear_mass
