object_name,source_family,vrot_km_s,sigma_km_s,vrot_over_sigma,endpoint_overlap,proxy_only,crossmatch_role
GASS32937,xGASS_angular_momentum,138.6821763906697,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109028,xGASS_angular_momentum,142.95446582712074,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109059,xGASS_angular_momentum,83.29481474563532,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109082,xGASS_angular_momentum,144.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS32907,xGASS_angular_momentum,170.15189233249305,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109118,xGASS_angular_momentum,151.96637896942065,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS16841,xGASS_angular_momentum,150.77002618823497,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109127,xGASS_angular_momentum,108.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109010,xGASS_angular_momentum,129.39654315337643,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109126,xGASS_angular_momentum,33.87588172993239,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS20144,xGASS_angular_momentum,77.64664036113108,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS33214,xGASS_angular_momentum,163.04184142178082,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109103,xGASS_angular_momentum,108.27617330043218,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109070,xGASS_angular_momentum,133.17389345194238,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109092,xGASS_angular_momentum,118.80548648157534,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS14784,xGASS_angular_momentum,324.34245606954727,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS55711,xGASS_angular_momentum,266.92060467007246,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS8349,xGASS_angular_momentum,162.707233727202,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109072,xGASS_angular_momentum,124.3438288714564,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109073,xGASS_angular_momentum,167.47515272013445,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109108,xGASS_angular_momentum,146.95659679347713,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109122,xGASS_angular_momentum,142.45745826574066,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109100,xGASS_angular_momentum,117.31684158510262,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109006,xGASS_angular_momentum,100.55711727734572,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109065,xGASS_angular_momentum,169.10256578313687,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109128,xGASS_angular_momentum,148.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26056,xGASS_angular_momentum,168.55210088733423,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18702,xGASS_angular_momentum,166.24048772456803,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109077,xGASS_angular_momentum,127.87271100325444,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109120,xGASS_angular_momentum,82.36045242329028,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS22822,xGASS_angular_momentum,181.8161291365888,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18707,xGASS_angular_momentum,241.6829879546069,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109058,xGASS_angular_momentum,139.4380984918752,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109109,xGASS_angular_momentum,85.79933978348238,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18673,xGASS_angular_momentum,223.1760528219784,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18686,xGASS_angular_momentum,208.95679269076155,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18681,xGASS_angular_momentum,209.8051270554969,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26040,xGASS_angular_momentum,179.32384574978943,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS20292,xGASS_angular_momentum,301.23624037129986,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109106,xGASS_angular_momentum,94.67425467186952,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS20376,xGASS_angular_momentum,137.06944851376042,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS20286,xGASS_angular_momentum,196.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109080,xGASS_angular_momentum,117.6446769069726,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109094,xGASS_angular_momentum,100.60470028689753,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109081,xGASS_angular_momentum,139.47538183562685,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109079,xGASS_angular_momentum,138.22975326248013,,,False,True,Vrot_available_sigma_missing_proxy_only
