object_name,source_family,sfr_msun_yr,sfe_per_yr,depletion_time_yr,endpoint_overlap,proxy_only,crossmatch_role
GASS56509,xGASS,0.0338477715849876,8.964589702725974e-12,111550002081.62538,False,True,SFR_SFE_HI_depletion_proxy_only
GASS8096,xGASS,0.9316095113754272,2.005552785557328e-10,4986156471.180127,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19989,xGASS,0.0150770992040634,3.398736375154629e-11,29422699780.72377,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108021,xGASS,0.5054287314414978,6.304630574292667e-10,1586135758.8143737,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108051,xGASS,0.0603921040892601,4.008479904942469e-10,2494711271.389927,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108017,xGASS,0.0560991056263446,5.52021468386072e-11,18115237491.101006,False,True,SFR_SFE_HI_depletion_proxy_only
GASS52297,xGASS,0.1333787143230438,4.571791061808568e-11,21873265564.424267,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108054,xGASS,0.6281474828720093,2.0326464819818157e-10,4919694638.809043,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19949,xGASS,1.7647379636764526,2.1711027681876215e-10,4605954239.719261,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16695,xGASS,0.3510573506355285,3.849266967569767e-11,25978972319.276405,False,True,SFR_SFE_HI_depletion_proxy_only
GASS25752,xGASS,2.347296714782715,1.9523967103685187e-10,5121909879.735702,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109129,xGASS,0.2750344276428222,1.189561061971557e-10,8406462114.207219,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109023,xGASS,0.703542947769165,7.199309476385698e-11,13890221045.227722,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109123,xGASS,0.6928871870040894,8.524377673682304e-11,11731061647.905924,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56662,xGASS,0.4569983184337616,4.255145988164118e-10,2350095631.927895,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56612,xGASS,0.0229353848844766,4.55518865565817e-11,21952987583.903084,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56650,xGASS,0.0345556288957595,6.942553760726652e-11,14403921589.4431,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109038,xGASS,0.7394184470176697,6.805969983467138e-10,1469298281.4046648,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109101,xGASS,0.1375255435705185,1.3255117325430962e-10,7544256119.720819,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56632,xGASS,0.8952864408493042,3.8191095976441205e-10,2618411371.637164,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109022,xGASS,0.0057373312301933,4.717478019970742e-11,21197767022.265892,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16655,xGASS,0.7620239853858948,7.979379104549698e-11,12532303414.808529,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109014,xGASS,0.0088874110952019,5.804634111755985e-11,17227614708.302185,False,True,SFR_SFE_HI_depletion_proxy_only
GASS20026,xGASS,0.0120575046166777,1.3404695834144466e-11,74600722938.65842,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109083,xGASS,0.5000336766242981,7.277787342314089e-10,1374043995.7428517,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109018,xGASS,0.0201283264905214,2.01283264905214e-11,49681229111.16871,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109066,xGASS,0.275921493768692,1.2100010046035468e-10,8264455948.345654,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109009,xGASS,0.1943273395299911,4.145093945425582e-10,2412490556.7063785,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109060,xGASS,0.0137826185673475,1.45657182541622e-10,6865435555.944842,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109134,xGASS,0.2261218726634979,4.6381292633885704e-10,2156041678.039413,False,True,SFR_SFE_HI_depletion_proxy_only
GASS20041,xGASS,0.0903211832046508,6.757549160635941e-11,14798264522.072552,False,True,SFR_SFE_HI_depletion_proxy_only
GASS20042,xGASS,1.980875253677368,1.887370740985911e-09,529837608.6288311,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109139,xGASS,0.8793913125991821,1.1592632181844008e-10,8626168624.293684,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109076,xGASS,0.4167789816856384,5.369149118642093e-11,18624925065.46194,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109021,xGASS,0.0402484312653541,1.6972622733085453e-10,5891841324.267802,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16756,xGASS,0.0127854412421584,2.4987113348968957e-11,40020629275.34056,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16753,xGASS,1.4930340051651,4.0464046416144675e-09,247132970.76513135,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16815,xGASS,0.095020592212677,3.473901163916175e-11,28786080916.380672,False,True,SFR_SFE_HI_depletion_proxy_only
GASS25851,xGASS,2.174323081970215,1.371905720359801e-10,7289130624.353228,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109036,xGASS,0.4518128931522369,2.9441419790597598e-09,339657532.5213629,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109039,xGASS,0.1852732300758361,4.9866969739675444e-11,20053354058.214897,False,True,SFR_SFE_HI_depletion_proxy_only
GASS14712,xGASS,4.242439270019531,5.219342379770996e-10,1915950185.3639197,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19672,xGASS,6.996085166931152,5.859430716676992e-10,1706650438.1625683,False,True,SFR_SFE_HI_depletion_proxy_only
GASS14727,xGASS,0.5607749819755554,2.8105313846985338e-11,35580460173.62881,False,True,SFR_SFE_HI_depletion_proxy_only
GASS25844,xGASS,0.0177892912179231,4.04724034507751e-11,24708194096.163784,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109057,xGASS,0.0362356789410114,1.816085171110783e-10,5506349679.56026,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109074,xGASS,0.645060658454895,2.815794127676724e-10,3551395999.3413563,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109099,xGASS,0.0329349897801876,2.7268280592344315e-10,3667264595.629672,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109102,xGASS,0.3803302049636841,6.655195965052477e-11,15025853562.406929,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109116,xGASS,0.5969792604446411,3.5971535489508756e-10,2779975851.4385743,False,True,SFR_SFE_HI_depletion_proxy_only
