galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,canonical_name,endpoint_tier,RHI_over_Rdisk,direct_hi_extent_overlap,map_level_ar_asymmetry_available,resolved_hi_overlap_role,proxy_only,quality_quarantine_flag
NGC7331,1.0,3.0,239.0,5.4,250.631,11.067,5.02,27.01,3.99,2470.76,1806.47,14.7,75.0,"Be91,Be87",NGC7331,Tier1_quality1_endpoint,5.380478087649403,True,True,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
NGC7814,1.0,2.0,218.9,7.0,74.529,1.07,2.54,12.15,2.08,2709.13,2635.3,14.4,90.0,Fr11,NGC7814,Tier1_quality1_endpoint,4.783464566929134,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC00128,1.0,8.0,129.3,2.8,12.02,7.431,5.95,31.27,9.63,20.36,88.89,64.5,57.0,"VB99,VH93",UGC00128,Tier1_quality1_endpoint,5.25546218487395,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC00731,1.0,10.0,73.3,2.3,0.323,1.807,2.3,11.57,1.4,25.63,82.57,12.5,57.0,"Sw09,Sw02",UGC00731,Tier1_quality1_endpoint,5.030434782608697,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC01230,1.0,9.0,103.7,6.1,7.62,6.43,4.34,26.29,6.45,28.63,69.32,53.7,22.0,"dB02,VdH93",UGC01230,Tier1_quality1_endpoint,6.057603686635945,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC01281,1.0,8.0,55.2,3.5,0.353,0.294,1.63,5.26,2.01,13.83,135.78,5.27,90.0,"dB02,Sw02",UGC01281,Tier1_quality1_endpoint,3.226993865030675,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC02487,1.0,0.0,332.0,3.5,489.955,17.963,7.89,40.2,9.63,818.14,1150.35,69.1,36.0,"No07,No05",UGC02487,Tier1_quality1_endpoint,5.095057034220533,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC02885,1.0,5.0,289.5,12.0,403.525,40.075,11.4,74.24,12.2,421.53,470.79,80.6,64.0,"Sa96,RA85",UGC02885,Tier1_quality1_endpoint,6.512280701754385,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC03205,1.0,2.0,219.6,8.6,113.642,9.677,3.19,28.6,5.35,587.26,3915.89,50.0,67.0,"No07,No05",UGC03205,Tier1_quality1_endpoint,8.965517241379311,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC03546,1.0,1.0,196.9,7.4,101.336,2.675,3.79,18.37,2.58,2403.42,922.21,28.7,55.0,"No07,No05",UGC03546,Tier1_quality1_endpoint,4.846965699208443,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC04278,1.0,7.0,91.4,4.8,1.307,1.116,2.21,8.9,2.46,34.11,377.42,9.51,90.0,"dB02,Sw02",UGC04278,Tier1_quality1_endpoint,4.027149321266968,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC04325,1.0,9.0,90.9,2.7,2.026,0.678,1.86,6.61,2.79,41.0,213.22,9.6,41.0,"Sw09,Sw02",UGC04325,Tier1_quality1_endpoint,3.553763440860215,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
UGC04499,1.0,8.0,72.8,2.4,1.552,1.1,1.73,8.67,2.69,33.79,127.3,12.5,50.0,"Sw09,Sw02",UGC04499,Tier1_quality1_endpoint,5.011560693641618,True,False,direct_endpoint_HI_extent_structural_overlap_from_SPARC,False,False
