model_name,features,n_residual_features,rmse_logj,base_rmse_logj,rmse_improvement_vs_base,mae_logj,spearman_pred_obs,pearson_pred_obs,resid_a_rho,base_resid_a_rho,abs_resid_a_rho_reduction,repeat
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05551524915716452,0.05576339474956508,0.0002481455924005574,0.04395539133605773,0.9927097761901289,0.9941291330903125,-0.7350921182831757,-0.7571134879188873,0.022021369635711663,5
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05610313704650284,0.05576339474956508,-0.0003397422969377631,0.04430694720911991,0.9926915506306043,0.994000338541137,-0.7452951399378486,-0.7571134879188873,0.011818347981038757,5
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05668631481626018,0.05576339474956508,-0.0009229200666951015,0.044743818666733874,0.9926368739520303,0.9938799117623135,-0.7365888048228594,-0.7571134879188873,0.02052468309602795,5
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.056428667989684864,0.05576339474956508,-0.0006652732401197861,0.04523962369139559,0.9930560618210978,0.9939331933712439,-0.7086445719904727,-0.7571134879188873,0.048468915928414624,5
base_only,none,0,0.055771970478004,0.055771970478004,0.0,0.043973510371951595,0.9922723627615366,0.9940734484634951,-0.7450669865019212,-0.7450669865019212,0.0,6
morphology,T,1,0.05562575579275788,0.055771970478004,0.0001462146852461224,0.04403408866215831,0.992527520594882,0.9941373938706947,-0.7509898496985962,-0.7450669865019212,-0.00592286319667501,6
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05642267960125036,0.055771970478004,-0.0006507091232463569,0.044415915327930655,0.9927280017496537,0.9939332377491055,-0.7361872547756272,-0.7450669865019212,0.008879731726293971,6
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05657395461979114,0.055771970478004,-0.0008019841417871362,0.044167223257915916,0.9929831595829991,0.9939084388553117,-0.7306568154887473,-0.7450669865019212,0.014410171013173878,6
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.0557524046715969,0.055771970478004,1.9565806407099984e-05,0.04396197010915099,0.9924546183567834,0.9940792313696273,-0.7300088597307135,-0.7450669865019212,0.015058126771207658,6
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.056721529014239776,0.055771970478004,-0.0009495585362357742,0.044987356343646506,0.9926368739520303,0.9938798152376379,-0.7133992895951995,-0.7450669865019212,0.031667696906721665,6
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05870225324638078,0.055771970478004,-0.002930282768376778,0.04637727804201066,0.9922176860829626,0.9934552742494442,-0.7029224838174136,-0.7450669865019212,0.042144502684507534,6
base_only,none,0,0.05734856127765069,0.05734856127765069,0.0,0.045682050656890384,0.9915251148210249,0.9937320430183909,-0.7606818076567917,-0.7606818076567917,0.0,7
morphology,T,1,0.0571119160496598,0.05734856127765069,0.00023664522799089066,0.046115169409668415,0.9919443026900926,0.9937986972056793,-0.7668328242893941,-0.7606818076567917,-0.006151016632602424,7
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.058043814046060495,0.05734856127765069,-0.0006952527684098014,0.04594281206718987,0.9917984982138949,0.9935789962420275,-0.7468557094395918,-0.7606818076567917,0.013826098217199934,7
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05810123571776483,0.05734856127765069,-0.0007526744401141344,0.04624470868870232,0.9918714004519938,0.9935723049042533,-0.6992720288425756,-0.7606818076567917,0.061409778814216165,7
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.057485639524664844,0.05734856127765069,-0.000137078247014151,0.045883448617408895,0.9919260771305679,0.993701326804634,-0.7543756466877586,-0.7606818076567917,0.006306160969033137,7
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05877455726141085,0.05734856127765069,-0.001425995983760156,0.04672789792686434,0.9924910694758328,0.9934179481597379,-0.7427580737303361,-0.7606818076567917,0.01792373392645563,7
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05977397100512602,0.05734856127765069,-0.0024254097274753264,0.04773459309182638,0.9923452649996353,0.9932090272857842,-0.6973281615684741,-0.7606818076567917,0.06335364608831762,7
base_only,none,0,0.05512493786635369,0.05512493786635369,0.0,0.04379585919901606,0.992527520594882,0.9942087085074577,-0.7380033561256092,-0.7380033561256092,0.0,8
morphology,T,1,0.055208910896213714,0.05512493786635369,-8.397302986002525e-05,0.04403831513933746,0.9926004228329807,0.9942114257487392,-0.7523770225890347,-0.7380033561256092,-0.014373666463425527,8
