permutation,rmse_logj,rmse_improvement_vs_base,resid_a_rho
115,0.05963592680612169,-0.003239979300258003,-0.7546676830857457
116,0.057051512431588985,-0.0006555649257252993,-0.7386239334713317
117,0.05871095815238066,-0.002315010646516971,-0.7538098261666588
118,0.05957767102697222,-0.0031817235211085357,-0.744765823966497
119,0.056033391299222364,0.0003625562066413221,-0.70503974770282
120,0.05902263679766076,-0.002626689291797074,-0.748972973324998
121,0.05784915688415209,-0.0014532093782884045,-0.7224159133830499
122,0.057593001346214014,-0.0011970538403503275,-0.738286266386159
123,0.0574649986143634,-0.0010690511084997106,-0.7628812067791317
124,0.056539479333772895,-0.00014353182790920876,-0.7485988016900772
125,0.05903443446077553,-0.0026384869549118464,-0.7244236636192108
126,0.05778491757202722,-0.0013889700661635362,-0.7579348402882259
127,0.05736996389586892,-0.0009740163900052307,-0.7518477066176832
128,0.05740160913354944,-0.0010056616276857555,-0.7597965723253934
129,0.05791011295816673,-0.001514165452303047,-0.7446471841798148
130,0.057909694674943786,-0.0015137471690801,-0.7010881301925576
131,0.057360985671629484,-0.0009650381657657983,-0.7510993633478413
132,0.056645764888108095,-0.00024981738224440914,-0.7533261408824927
133,0.057032649950128314,-0.000636702444264628,-0.7497486950071511
134,0.057775130034898224,-0.001379182529034538,-0.7379212208886753
135,0.056511105565358696,-0.00011515805949501023,-0.7793538848530893
136,0.055320914968608734,0.0010750325372549524,-0.7092377709238837
137,0.057107980579486156,-0.00071203307362247,-0.7502415064287543
138,0.05797052525420406,-0.0015745777483403764,-0.7433603988011843
139,0.057527990697881934,-0.0011320431920182478,-0.7421740009343618
140,0.05529149299454578,0.0011044545113179094,-0.7265774320543655
141,0.057509019804567796,-0.0011130722987041097,-0.7161006262765797
142,0.05933694991340993,-0.002941002407546245,-0.7426850646308392
143,0.05709469325190758,-0.0006987457460438939,-0.7551422422324747
144,0.056925839756022556,-0.0005298922501588699,-0.7312500144221584
145,0.056247366905334106,0.00014858060052957978,-0.748680936927011
146,0.05859708799445134,-0.0022011404885876537,-0.7113276563969788
147,0.05709658871501412,-0.0007006412091504349,-0.7548228274221763
148,0.058251693790000836,-0.0018557462841371497,-0.7451126171891067
149,0.05752338895571158,-0.001127441449847895,-0.716985861607978
