object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
IC4202,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6703756463172738
UGC02885,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7132214526470548
ESO116-G012,direct_sparc_m36_m41,0.6621790652921447,0.5,0.5,0.5,0.5810895326460723,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6999053372079475
F579-V1,direct_sparc_m36_m41,0.620649655144032,0.5,0.5,0.5,0.5603248275720161,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6425911368515081
NGC2903,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7517342285708569
NGC3917,direct_sparc_m36_m41,0.7675428417901886,0.5,0.5,0.5,0.6337714208950943,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8069742744447722
F574-1,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6927799831897397
UGC06786,direct_sparc_m36_m41,0.9265244652208636,0.5,0.5,0.5,0.7132622326104319,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8027713495211416
NGC5985,direct_sparc_m36_m41,0.922742285624894,0.5,0.5,0.5,0.7113711428124471,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8040413217746091
NGC6195,direct_sparc_m36_m41,0.7452045208750374,0.5,0.5,0.5,0.6226022604375188,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8031363424658143
UGC06930,direct_sparc_m36_m41,0.0932537587438715,0.5,0.5,0.5,0.29662687937193577,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7021462232525187
ESO079-G014,direct_sparc_m36_m41,0.7248966280215176,0.5,0.5,0.5,0.6124483140107588,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8029659200645272
NGC0024,direct_sparc_m36_m41,0.5500511582606858,0.5,0.5,0.5,0.525025579130343,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7824019726063639
NGC3953,direct_sparc_m36_m41,0.9899496598299397,0.5,0.5,0.5,0.7449748299149699,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8301717168479605
NGC3972,direct_sparc_m36_m41,0.7257610080544021,0.5,0.5,0.5,0.6128805040272011,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8184681126377343
NGC5005,direct_sparc_m36_m41,0.8936337039666468,0.5,0.5,0.5,0.6968168519833234,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7951818389787029
NGC7814,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8005780980760613
UGC02487,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8222359483103044
UGC03546,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.8258526755547789
UGC04325,direct_sparc_m36_m41,0.1178330606459654,0.5,0.5,0.5,0.30891653032298266,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7655216810842725
UGC06399,direct_sparc_m36_m41,0.1543166850647691,0.5,0.5,0.5,0.32715834253238457,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7528704145925351
UGC06917,direct_sparc_m36_m41,0.2211032226347184,0.5,0.5,0.5,0.3605516113173592,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7519195345613939
UGC06983,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6439468270420454
UGC11914,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.7889707092874967
xGASS_xCOLD:GASS101026,xGASS_xCOLD,0.0,0.5,0.374049962458643,0.11656458974974933,0.18646645146670357,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS102001,xGASS_xCOLD,0.0,0.5,0.3450957602117207,0.12317083092631036,0.18133623513497518,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS112113,xGASS_xCOLD,0.0,0.5,0.4027558277484806,0.18094584866084,0.19864575041578014,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS108119,xGASS_xCOLD,0.0,0.5,0.38026896213125616,0.14068770772472988,0.19012256319872423,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS122004,xGASS_xCOLD,0.0,0.5,0.35056339653518326,0.04356767106782984,0.17446944641381965,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS113134,xGASS_xCOLD,0.0,0.5,0.44645155022932737,0.1557876700152474,0.20486907704739024,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS123001,xGASS_xCOLD,0.0,0.5,0.42088311506926435,0.1641023102824157,0.20058685404209445,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
