object_name,source_family,source_type,taxonomy_stage,m51_primary_score,has_resolved_hi,has_sfr_sfe,hi_asymmetry_indicator,ar_mismatch_indicator,sfr_indicator,sfe_indicator,depletion_time_indicator,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,proxy_level,claim_boundary,quality_quarantine_flag,branch_role,organization_label_settled,organization_label_score
NGC4157,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5868819063328693
NGC2841,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5542143616632161
NGC4100,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6030037652935188
NGC2403,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5105108966030939
NGC2998,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6352352489850656
ESO563-G021,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5870690582416639
NGC3893,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5836879317079248
NGC6674,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5736237150700809
NGC5907,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.7376746575535738,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8043314844233729
UGC03205,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5877342301284297
NGC6503,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.9677920314425682,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7037388631066879
NGC5033,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.8186458227180256,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7917010105796597
NGC4183,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.351364552237024,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7349289448337464
UGC07151,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.3346896757953144,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7403675728215676
UGC08286,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.8649381226476502,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4708234299793377
UGC11455,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6143163123877886
NGC3521,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5715241143402278
NGC3992,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7116682643074945
NGC0891,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6318659252241229
NGC4217,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7797598914259906
NGC7331,direct_sparc_m36_m41,direct_sparc_m36_m41,disturbed_or_measurement_contaminated,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7090330170586335
F571-8,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.9195511394645024,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5939048188945589
IC4202,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6703756463172738
UGC02885,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7132214526470548
ESO116-G012,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.6621790652921447,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6999053372079475
F579-V1,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.620649655144032,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6425911368515081
NGC2903,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7517342285708569
NGC3917,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.7675428417901886,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8069742744447722
F574-1,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.6927799831897397
UGC06786,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.9265244652208636,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8027713495211416
NGC5985,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.922742285624894,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8040413217746091
NGC6195,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.7452045208750374,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8031363424658143
UGC06930,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.0932537587438715,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7021462232525187
ESO079-G014,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.7248966280215176,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8029659200645272
NGC0024,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.5500511582606858,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7824019726063639
NGC3953,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.9899496598299397,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8301717168479605
NGC3972,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.7257610080544021,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8184681126377343
NGC5005,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,0.8936337039666468,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.7951818389787029
NGC7814,direct_sparc_m36_m41,direct_sparc_m36_m41,mature_or_control,1.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.8005780980760613
