object_name,source_family,m51_primary_score,m54_organization_score,proxy_level,model_frozen_before_endpoint_join,quality_quarantine_flag,branch_role,m51_rank,m54_rank,trajectory_rank_shift
M17_analog_synthesis:9091-6103,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:DDO161,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:9001-12704,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:11751-12702,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS122005,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS101026,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS109080,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
M17_analog_synthesis:GASS111054,M17_analog_synthesis,0.1718042323224167,0.33590211616120835,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,81.5,82.5,-1.0
UGC06399,direct_sparc_m36_m41,0.1543166850647691,0.32715834253238457,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,101.0,98.0,3.0
UGC07125,direct_sparc_m36_m41,0.1286747142184619,0.314337357109231,local_M51_proxy_or_direct_context,True,True,quarantined_failed_stalled_measurement_limited_context,102.0,99.0,3.0
UGC04325,direct_sparc_m36_m41,0.1178330606459654,0.30891653032298266,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,103.0,100.0,3.0
THINGS:NGC2841,THINGS_M11,0.1718042323224167,0.2974405776996699,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,101.0,-19.5
UGC06930,direct_sparc_m36_m41,0.0932537587438715,0.29662687937193577,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,104.0,102.0,2.0
THINGS:NGC6946,THINGS_M11,0.1718042323224167,0.25128673154582376,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,103.0,-21.5
F563-1,direct_sparc_m36_m41,0.0025630890815867,0.2512815445407934,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,105.0,104.0,1.0
UGCA442,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
NGC3109,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
F583-1,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC00731,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC04499,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC07399,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC00128,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC01230,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC12632,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC10310,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
F563-V2,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
F568-V1,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC07524,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC04278,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC06983,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
F574-1,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
DDO064,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
D631-7,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC06667,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
UGC01281,direct_sparc_m36_m41,0.0,0.25,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,135.5,114.5,21.0
xGASS_xCOLD:GASS109065,xGASS_xCOLD,0.0,0.24137718928531643,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,125.0,10.5
THINGS:NGC5055,THINGS_M11,0.1718042323224167,0.23590211616120838,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,126.0,-44.5
xGASS_xCOLD:GASS112100,xGASS_xCOLD,0.0,0.2240503324926008,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,127.0,8.5
xGASS_xCOLD:GASS101033,xGASS_xCOLD,0.0,0.2239464422346598,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,128.0,7.5
xGASS_xCOLD:GASS113057,xGASS_xCOLD,0.0,0.22298757371703024,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,129.0,6.5
xGASS_xCOLD:GASS110059,xGASS_xCOLD,0.0,0.2227406064891052,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,130.0,5.5
xGASS_xCOLD:GASS112117,xGASS_xCOLD,0.0,0.2206817215730277,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,131.0,4.5
xGASS_xCOLD:GASS44856,xGASS_xCOLD,0.0,0.2193638415441703,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,132.0,3.5
xGASS_xCOLD:GASS114129,xGASS_xCOLD,0.0,0.21876385221424824,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,133.0,2.5
xGASS_xCOLD:GASS124000,xGASS_xCOLD,0.0,0.21650089882387352,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,134.0,1.5
xGASS_xCOLD:GASS109127,xGASS_xCOLD,0.0,0.21267483977535687,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,135.0,0.5
xGASS_xCOLD:GASS111071,xGASS_xCOLD,0.0,0.21209559504259173,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,136.0,-0.5
xGASS_xCOLD:GASS111075,xGASS_xCOLD,0.0,0.2100353475939084,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,137.0,-1.5
xGASS_xCOLD:GASS107026,xGASS_xCOLD,0.0,0.2098716697895222,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,138.0,-2.5
xGASS_xCOLD:GASS113137,xGASS_xCOLD,0.0,0.2087952311374741,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,139.0,-3.5
xGASS_xCOLD:GASS111044,xGASS_xCOLD,0.0,0.20863035881032826,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,140.0,-4.5
xGASS_xCOLD:GASS108148,xGASS_xCOLD,0.0,0.20753199790713198,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,141.0,-5.5
xGASS_xCOLD:GASS101001,xGASS_xCOLD,0.0,0.20737821378287663,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,142.0,-6.5
xGASS_xCOLD:GASS109082,xGASS_xCOLD,0.0,0.20718093583419792,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,143.0,-7.5
xGASS_xCOLD:GASS113114,xGASS_xCOLD,0.0,0.20677681058294814,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,144.0,-8.5
xGASS_xCOLD:GASS114117,xGASS_xCOLD,0.0,0.20628641502269063,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,145.0,-9.5
xGASS_xCOLD:GASS108140,xGASS_xCOLD,0.0,0.20628175897970108,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,146.0,-10.5
xGASS_xCOLD:GASS109080,xGASS_xCOLD,0.0,0.20569138260480455,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,147.0,-11.5
xGASS_xCOLD:GASS114000,xGASS_xCOLD,0.0,0.20536480538067933,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,148.0,-12.5
xGASS_xCOLD:GASS109102,xGASS_xCOLD,0.0,0.20513708856686214,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,149.0,-13.5
xGASS_xCOLD:GASS113134,xGASS_xCOLD,0.0,0.20486907704739024,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,150.0,-14.5
